ID,Vítima,Clube_Vit,UID_TMK,Tipo,Título,Fato,Desdobramentos,Como Terminou,Onde,Ambiente,Data,Jogo,Campeonato,Programa,Emissora,Cidade,Espaço,Tipo de Agressão
01.2020,Wallyson,atleta do ABC Futebol Clube,68465,Racismo,"Wallyson,atleta do ABC Futebol Clube","Através das redes sociais do fotógrafo Luciano Marcos, o atacante Wallyson acusa o goleiro Ferreira, do Força e Luz, de têlo chamado de macaco durante a partida.",O narrador Marcos Lopes disse em seu perfil no twitter que a Procuradoria do Tribunal de Justiça Desportiva do Rio Grande do Norte (TJD/RN) iria apurar a denúncia de Wallyson contra Ferreira,Não foram encontradas informações se houve investigação sobre o caso. Não constam informações no site do TJD/RN,Estádio Maria Lamas Farache (Frasqueirão),Físico,09/01/20,ABC x Força e Luz,Copa Cidade do Natal,,,Natal/RN,,
01/2014,Paulão," atleta Paulo Marcos de Jesus Ribeiro, do Sport Club Internacional",128855,Racismo,"Paulão, atleta Paulo Marcos de Jesus Ribeiro, do Sport Club Internacional","O zagueiro Paulão, falou que sua mãe e seu irmão, escutaram insultos racistas contra o atleta, em partida no estádio Beira-Rio. “No jogo anterior (a Inter e Goiás), minha mãe estava no camarote (do Beira-Rio) com o meu irmão, Paulinho. Não lembro se eu errei, e começaram a me xingar “macaco, seu preto”. E meu irmão disse “pô, respeita ao menos a mãe dele, que está aqui. Xinga o time, e não ele”. Fiquei sabendo. Fiz o gol (de bicicleta, no Goiás) e não comemorei por isso. Imagina? A tua mãe está no teu trabalho, as pessoas estão te agredindo. É normal, ela sabe da minha profi ssão, sabe que serei xingado. Mas é triste. As pessoas falaram que eu estava contra o time, quando fi z o gol e não comemorei, mas não foi nada disso.”.",O fato foi relatado pelo jogador em entrevista realizada ao jornal Zero Hora em 19/03/2016.,Caso não teve sequência.,Estádio José Pinheiro Borda (Beira-Rio),Físico,25/10/14,Internacional x Bahia,Brasileiro,,,Porto Alegre/RS,Estádio,
02.2020,Serjão, atleta do Barbalha Futebol Clube,789428,Racismo,"Serjão, atleta do Barbalha Futebol Clube",O goleiro Serjão pediu ao árbitro da partida para paralisar o jogo por ter sido chamado de “macaco” pela torcida adversária,"A situação foi relatada em súmula pelo árbitro Raimundo Rodrigues. Através das redes sociais, a diretoria do Caucaia se manifestou em solidariedade ao goleiro adversário. Segundo a instituição, a Polícia Militar foi convocada para a identificação do autor do crime, além de garantir a integridade do atleta Serjão. A diretoria do Barbalha utilizou as redes sociais para cobrar um posicionamento da Federação Cearense de Futebol (FCF) sobre o ocorrido. Promovendo uma campanha com a hashtag somostodosiguais, a equipe reiterou que a comissão técnica e a torcida organizada da Raposa se solidarizavam com o atleta.","Serjão não prestou Boletim de Ocorrência (BO) na delegacia de plantão do município de Caucaia. Sem a formalização da denúncia, a polícia não pôde concluir as investigações. Não foram encontradas informações sobre alguma ação promovida pela Federação Cearense de Futebol (FCF).",Estádio Raimundo de Oliveira (Raimundão),Físico,19/01/20,Caucaia x Barbalha,Cearense,,,Caucaia/CE,,
03.2020,Eduardo Bauermann, atleta do América Futebol Clube,294804,Racismo,"Eduardo Bauermann, atleta do América Futebol Clube","Um integrante da Seita Verde, torcida organizada do Coelho (América), reproduziu ofensas racistas direcionadas ao zagueiro Eduardo Bauermann","Em nota o clube repudiou o ocorrido e enalteceu a ação de alguns torcedores, que retiraram o agressor. Integrantes da própria organizada se mobilizaram no momento e foram até a Polícia Militar.",Eduardo não registrou boletim de ocorrência e assim o torcedor não foi detido. A Seita Verde identificou e expulsou o torcedor após o xingamento racista.,Arena Independência,Físico,23/01/20,América x Caldense,Mineiro,,,Belo Horizonte/MG,,
04/2019,Marcelo Benevenuto, atleta do Botafogo de Futebol e Regatas,476339,Racismo,"Marcelo Benevenuto, atleta do Botafogo de Futebol e Regatas","Em entrevista ao “Canal do TF”, o zagueiro Marcelo Benevenuto, do Botafogo, acusou o atacante Maxi López (então atleta do Vasco da Gama) de tê-lo chamado de “preto de m*”. A acusação aconteceu um ano após o incidente.","O argentino Maxi López, acusado de racismo, negou o fato e publicou fotos com jogadores negros.",O fato não teve sequência.,Estádio Nilton Santos (Engenhão),Físico,23/02/19,Botafogo x Vasco,Taça Rio,,,Rio de Janeiro/RJ,Estádio,
05.2020,Alexander,atleta do Clube de Regatas Vascoda Gama,668799,Racismo,"Alexander,atleta do Clube de Regatas Vascoda Gama",O goleiro reserva do Vasco sofreu insultos racistas da torcida boliviana.,"Alexander estava no banco de reservas e ouviu gritos da torcida do Oriente Petrolero. Devido aos gestos e insultos direcionados ao goleiro Alexander no final do segundo tempo e flagrados pelas câmeras de televisão, um grupo de jogadores vascaínos se dirigiu ao árbitro para reclamar e acabaram sendo advertidos. Após reclamação, o árbitro puniu o zagueiro vascaíno Ricardo Graça com cartão amarelo. Através do Twitter oficial do Vasco, o clube repudiou o episódio. Além disso, os cariocas informaram que enviariam uma carta à CONMEBOL pelo racismo sofrido na Bolívia.",Não foram encontrados registros de abertura de processo pela CONMEBOL.,Estádio Ramón Tahuichi Aguilera,Físico,19/02/20,Oriente Petrolero x Vasco,Copa Sul-Americana,,,Santa Cruz de la Sierra/BOLÍVIA,,
05/2019,Marcos Cândido, atleta do Saraiva (futebol amador),,Racismo,"Marcos Cândido, atleta do Saraiva (futebol amador)","O atleta de futebol amador Marcos Cândido, de 26 anos, afirmou ter sido vítima de racismo.","Na súmula da partida, o árbitro confirmou que houve o crime e relatou toda a briga que ocorreu após o xingamento. De acordo com o texto, a vítima de racismo teria dado um pontapé no jogador de Guia Lopes que supostamente o ofendeu, que em seguida caiu no chão e recebeu novamente um chute na região da cabeça de outro jogador do Saraiva. Marcos Cândido falou ao término da partida de que faria o registro de um Boletim de Ocorrência (BO) no dia seguinte.","Segundo a organização da competição, através do seu representante Julio Cesar Souza da Silva, “não houve caso de racismo na partida e os atletas do time do Saraiva estão fazendo tal afirmação para tentar escapar de punição.”. O mesmo ainda informou que fariam um BO contra as pessoas que estavam fazendo essa falsa acusação por calúnia e difamação. Não foram encontradas mais informações sobre o desenrolar do caso.",Estádio da Cidade,Físico,17/11/19,Guia Lopes da Laguna x Saraiva,Liga Terrão da UEFA MS,,,Campo Grande/MS,Estádio,
06.2020,Léo Pereira, atleta da Associação Portuguesa de Desportos,787709,Racismo,"Léo Pereira, atleta da Associação Portuguesa de Desportos","Zagueiro Léo Pereira, da Lusa, foi ofendido no final da partida por um torcedor do Penapolense que imitou um macaco.","As imagens do repórter cinematográfico Eduardo Durú, da TV TEM, mostraram o momento em que um torcedor do time local imitava um macaco nas  arquibancadas ao protestar contra a falta de Léo Pereira. Após a imitação do macaco, o torcedor ainda ficou rindo ao lado de um colega da torcida. Ao fim da partida, Léo Pereira foi até o alambrado para discutir com o agressor. O episódio não foi relatado na súmula pelo árbitro Rafael Gomes Félix da Silva. Segundo a assessoria da Lusa, o jogador registraria ocorrência. Após a repercussão do caso, o presidente do CAP, Nilso Moreira, divulgou nota informando que o clube “lamenta e repudia” o episódio e que tentaria identificar o agressor. O torcedor foi identificado e se retratou, pedindo desculpas e dizendo estar arrependido pelo ato.","O clube Penapolense foi punido com multa mínima de R$ 1000,00 (hum mil reais) e o torcedor autor da ofensa racial foi banido pelo TJD, não podendo frequentar o estádio Tenente Carriço, em Penápolis, pelos próximos dois anos",Estádio Tenente Carriço (Tenentão),Físico,24/02/20,Penapolense x Portuguesa,Campeonato Paulista - Série A2,,,Penápolis/SP,,
06/2014,Marcelo Vieira da Silva Júnior, atleta da Seleção Brasileira de Futebol,44501,Racismo,"Marcelo Vieira da Silva Júnior, atleta da Seleção Brasileira de Futebol","Alguns internautas brasileiros xingaram o lateral brasileiro, Marcelo, nas redes sociais, em virtude do gol contra, feito por ele na partida de estreia da Seleção na Copa, contra a Croácia.","Frases como “tinha que ser preto”, “tira esse preto do jogo” e “se fosse branco não faria uma merda dessas”, foram lamentavelmente reproduzidas em várias redes sociais.","Não constam informações de que o caso tenha sido levado adiante, tão pouco que os agressores foram devidamente identificados. OBS; Caso apresentado no Relatório de 2014 como “Ocorrências na Copa”, não incluso na soma geral da época.",Rede Social - Twiter,Internet,12/06/14,,,,,,Internet,
08.2020,Léo Tilica, atleta da Sociedade Esportiva e Recreativa Caxias do Sul,393839,Racismo,"Léo Tilica, atleta da Sociedade Esportiva e Recreativa Caxias do Sul",O atacante Léo Tilica disse ter ouvido injúrias raciais vindas da arquibancada,"O episódio gerou uma confusão generalizada. Aos 39 minutos do segundo tempo, pouco tempo depois de ser substituído, o jogador do time do Caxias confrontou os torcedores e recebeu cusparadas de pessoas presentes naquele setor do estádio do São Luiz. O jogo foi interrompido por conta do tumulto que se formou, inclusive com o policiamento entrando em campo. Tilica deixou o campo chorando. A partida foi reiniciada seis minutos depois. O técnico do Caxias, Rafael Lacerda, lamentou o episódio e fez questão de defender seu jogador. A Federação Gaúcha de Futebol divulgou a súmula do árbitro Anderson Farias, que relatou o racismo sofrido pelo atacante Tilica. Não há informações sobre o registro de Boletim de Ocorrência (BO) em relação ao caso. O torcedor não foi identificado.","A equipe do São Luiz foi denunciada e julgada no STJD, sendo condenada em primeira instância a pagar uma multa de R$ 1000,00 (hum mil reais), além da perda de três pontos no próximo Campeonato Gaúcho. A Procuradoria recorreu e o São Luiz terminou sofrendo pena de R$ 5 mil de multa e a perda de dois mandos de campo.",Estádio 19 de Outubro,Físico,09/03/20,São Luiz x Caxias,Gaúcho,,,Ijuí/RS,,
