0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,/david-luiz/profil/spieler/46741,David Luiz,David Luiz,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,27,€26.00m,Brazil,/fc-chelsea/startseite/verein/631/saison_id/2014,,/fc-chelsea/startseite/verein/631/saison_id/2014,,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,Paris SG,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,€49.50m
2,/filipe-luis/profil/spieler/21725,Filipe Luís,Filipe Luís,/filipe-luis/profil/spieler/21725,Filipe Luís,Left-Back,28,€15.00m,Brazil,/atletico-madrid/startseite/verein/13/saison_id/2014,,/atletico-madrid/startseite/verein/13/saison_id/2014,,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fc-chelsea/startseite/verein/631/saison_id/2014,,/fc-chelsea/startseite/verein/631/saison_id/2014,,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,€20.00m
3,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Gabriel Paulista,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,24,€8.00m,Brazil,/fc-villarreal/startseite/verein/1050/saison_id/2014,,/fc-villarreal/startseite/verein/1050/saison_id/2014,,/fc-villarreal/startseite/verein/1050/saison_id/2014,Villarreal,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fc-arsenal/startseite/verein/11/saison_id/2014,,/fc-arsenal/startseite/verein/11/saison_id/2014,,/fc-arsenal/startseite/verein/11/saison_id/2014,Arsenal,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,€15.00m
4,/guilherme-siqueira/profil/spieler/44373,Guilherme Siqueira,Guilherme Siqueira,/guilherme-siqueira/profil/spieler/44373,Guilherme Siqueira,Left-Back,28,€8.00m,Brazil,/fc-granada/startseite/verein/16795/saison_id/2014,,/fc-granada/startseite/verein/16795/saison_id/2014,,/fc-granada/startseite/verein/16795/saison_id/2014,Granada CF,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/atletico-madrid/startseite/verein/13/saison_id/2014,,/atletico-madrid/startseite/verein/13/saison_id/2014,,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,€10.00m
5,/wallace/profil/spieler/225335,Wallace,Wallace,/wallace/profil/spieler/225335,Wallace,Centre-Back,19,€100k,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,€9.50m
6,/matheus-doria/profil/spieler/213841,Matheus Dória,Matheus Dória,/matheus-doria/profil/spieler/213841,Matheus Dória,Centre-Back,19,€8.00m,Brazil,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,Botafogo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/olympique-marseille/startseite/verein/244/saison_id/2014,,/olympique-marseille/startseite/verein/244/saison_id/2014,,/olympique-marseille/startseite/verein/244/saison_id/2014,Marseille,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,€5.00m
7,/matheus-doria/profil/spieler/213841,Matheus Dória,Matheus Dória,/matheus-doria/profil/spieler/213841,Matheus Dória,Centre-Back,20,€7.50m,Brazil,/olympique-marseille/startseite/verein/244/saison_id/2014,,/olympique-marseille/startseite/verein/244/saison_id/2014,,/olympique-marseille/startseite/verein/244/saison_id/2014,Marseille,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,loan transfer
8,/wendell/profil/spieler/228433,Wendell,Wendell,/wendell/profil/spieler/228433,Wendell,Left-Back,20,€3.00m,Brazil,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/bayer-04-leverkusen/startseite/verein/15/saison_id/2014,,/bayer-04-leverkusen/startseite/verein/15/saison_id/2014,,/bayer-04-leverkusen/startseite/verein/15/saison_id/2014,B. Leverkusen,/bundesliga/transfers/wettbewerb/L1/saison_id/2014,Bundesliga,€6.50m
9,/alex/profil/spieler/15420,Alex,Alex,/alex/profil/spieler/15420,Alex,Centre-Back,32,€5.50m,Brazil,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,Paris SG,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,/ac-mailand/startseite/verein/5/saison_id/2014,,/ac-mailand/startseite/verein/5/saison_id/2014,,/ac-mailand/startseite/verein/5/saison_id/2014,AC Milan,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,free transfer
10,/rhodolfo/profil/spieler/55322,Rhodolfo,Rhodolfo,/rhodolfo/profil/spieler/55322,Rhodolfo,Centre-Back,28,€5.00m,Brazil,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
11,/mauricio/profil/spieler/67864,Maurício,Maurício,/mauricio/profil/spieler/67864,Maurício,Centre-Back,26,€5.00m,Brazil,/sporting-lissabon/startseite/verein/336/saison_id/2014,,/sporting-lissabon/startseite/verein/336/saison_id/2014,,/sporting-lissabon/startseite/verein/336/saison_id/2014,Sporting CP,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/lazio-rom/startseite/verein/398/saison_id/2014,,/lazio-rom/startseite/verein/398/saison_id/2014,,/lazio-rom/startseite/verein/398/saison_id/2014,Lazio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,loan transfer
12,/marcio-azevedo/profil/spieler/55484,Márcio Azevedo,Márcio Azevedo,/marcio-azevedo/profil/spieler/55484,Márcio Azevedo,Left-Back,28,€4.50m,Brazil,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,Metalist Kharkiv,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,Shakhtar D.,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,€4.00m
13,/egidio/profil/spieler/54419,Egídio,Egídio,/egidio/profil/spieler/54419,Egídio,Left-Back,28,€4.50m,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,Dnipro,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,€2.25m
