ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência
46741,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,27,26000000.0,Brazil,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,Paris SG,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,49500000.0,2014
21725,/filipe-luis/profil/spieler/21725,Filipe Luís,Left-Back,28,15000000.0,Brazil,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,20000000.0,2014
149498,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,24,8000000.0,Brazil,/fc-villarreal/startseite/verein/1050/saison_id/2014,Villarreal,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fc-arsenal/startseite/verein/11/saison_id/2014,Arsenal,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,15000000.0,2014
44373,/guilherme-siqueira/profil/spieler/44373,Guilherme Siqueira,Left-Back,28,8000000.0,Brazil,/fc-granada/startseite/verein/16795/saison_id/2014,Granada CF,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,10000000.0,2014
225335,/wallace/profil/spieler/225335,Wallace,Centre-Back,19,100000.0,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,9500000.0,2014
213841,/matheus-doria/profil/spieler/213841,Matheus Dória,Centre-Back,19,8000000.0,Brazil,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,Botafogo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/olympique-marseille/startseite/verein/244/saison_id/2014,Marseille,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,5000000.0,2014
228433,/wendell/profil/spieler/228433,Wendell,Left-Back,20,3000000.0,Brazil,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/bayer-04-leverkusen/startseite/verein/15/saison_id/2014,B. Leverkusen,/bundesliga/transfers/wettbewerb/L1/saison_id/2014,Bundesliga,6500000.0,2014
15420,/alex/profil/spieler/15420,Alex,Centre-Back,32,5500000.0,Brazil,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,Paris SG,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,/ac-mailand/startseite/verein/5/saison_id/2014,AC Milan,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,0.0,2014
55322,/rhodolfo/profil/spieler/55322,Rhodolfo,Centre-Back,28,5000000.0,Brazil,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
55484,/marcio-azevedo/profil/spieler/55484,Márcio Azevedo,Left-Back,28,4500000.0,Brazil,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,Metalist Kharkiv,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/shakhtar-donetsk/startseite/verein/660/saison_id/2014,Shakhtar D.,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,4000000.0,2014
54419,/egidio/profil/spieler/54419,Egídio,Left-Back,28,4500000.0,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,Dnipro,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,2250000.0,2014
