,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
0,46741,2013,42,34,1.91,-,3,1,5,2,11,-,-,-,-,2.684'
1,21725,2013,50,49,2.35,1,6,1,-,3,7,1,1,-,4.273',4.273'
2,149498,2013,32,21,1.48,-,-,1,1,-,4,1,-,-,-,1.789'
3,44373,2013,35,33,2.52,1,1,-,-,7,8,2,-,-,2.751',2.751'
4,225335,2013,10,7,2.57,-,-,-,-,-,2,-,-,-,-,630'
5,213841,2013,20,18,1.00,-,1,-,-,-,4,-,-,-,-,1.620'
6,228433,2013,22,22,1.91,1,1,-,-,1,6,-,-,-,1.983',1.983'
7,15420,2013,46,42,2.40,3,-,1,1,8,8,-,-,-,1.183',3.548'
8,55322,2013,45,43,1.72,1,-,-,-,1,6,-,-,-,3.843',3.843'
9,55484,2013,33,33,2.09,-,1,-,1,2,1,-,-,-,-,2.852'
10,54419,2013,57,48,2.02,1,4,-,2,9,7,-,-,-,3.927',3.927'
11,72489,2013,18,14,1.43,1,-,-,1,3,3,-,-,-,1.084',1.084'
12,58426,2013,27,23,1.87,2,2,-,3,3,3,-,-,-,853',1.705'
13,45025,2013,14,10,1.30,1,-,-,2,2,-,-,-,-,636',636'
14,41417,2013,33,31,1.65,-,2,-,6,7,8,-,-,-,-,2.199'
15,113586,2013,42,25,1.88,2,-,1,1,1,3,-,-,-,1.088',2.176'
16,226009,2013,33,25,1.88,2,-,-,-,-,2,1,-,-,1.125',2.250'
17,291451,2013,46,42,1.19,4,-,-,1,3,14,1,-,1,897',3.587'
18,11950,2013,1,1,3.00,-,-,-,-,-,-,-,-,-,-,90'
19,18699,2013,50,31,0.90,2,-,-,4,1,9,-,-,-,1.251',2.501'
20,20386,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23167,2013,1,1,,-,-,-,-,-,-,-,-,-,-,120'
22,45589,2013,34,26,1.12,1,1,1,-,1,1,-,-,-,2.337',2.337'
23,52061,2013,35,35,1.17,6,-,-,-,-,6,-,-,3,525',3.150'
24,53274,2013,47,32,1.72,-,-,-,-,5,7,-,-,-,-,2.813'
25,54138,2013,27,26,1.77,-,-,-,-,-,4,-,-,-,-,2.340'
26,55348,2013,23,13,1.77,-,-,-,2,3,2,-,-,-,-,959'
27,64360,2013,21,15,1.40,-,1,-,-,3,4,-,-,-,-,1.267'
28,68302,2013,1,1,,-,-,-,-,-,1,-,-,-,-,90'
29,68779,2013,37,33,1.70,4,2,-,5,2,5,-,1,-,663',2.653'
30,75144,2013,14,8,1.50,-,-,-,2,-,2,1,-,-,-,576'
31,112371,2013,9,5,1.00,-,-,-,1,1,1,-,-,-,-,374'
32,139169,2013,29,9,0.78,-,-,-,3,1,2,-,-,-,-,611'
33,150185,2013,38,21,1.29,-,-,-,-,1,1,-,-,-,-,1.867'
34,270423,2013,30,20,1.05,-,-,-,1,3,4,1,-,-,-,1.625'
35,240912,2013,33,20,1.00,-,-,-,1,-,2,-,-,-,-,1.767'
36,237020,2013,1,-,,-,-,-,-,-,-,-,-,-,-,-
37,355496,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,319280,2013,10,3,1.33,-,-,-,1,2,1,-,-,-,-,142'
39,269467,2013,26,26,1.69,3,1,-,-,-,3,2,-,-,766',2.298'
40,52960,2013,37,36,1.39,4,-,-,-,2,8,-,-,-,802',3.207'
41,47592,2013,54,53,1.79,2,-,-,1,5,10,1,-,-,2.267',4.534'
42,104277,2013,19,12,1.00,1,-,-,2,2,4,-,-,-,844',844'
43,148751,2013,29,10,2.00,1,-,-,4,1,2,-,-,-,666',666'
44,291981,2013,35,34,1.35,1,1,-,-,3,4,2,-,-,3.078',3.078'
45,195604,2013,39,39,1.26,-,9,-,1,7,8,-,-,-,-,3.345'
46,54275,2013,27,24,1.21,5,4,-,-,5,8,-,-,-,409',2.045'
47,31753,2013,54,40,1.78,7,1,2,2,3,8,-,-,-,494',3.460'
48,33572,2013,51,50,1.38,4,-,-,1,5,14,-,-,-,1.085',4.341'
49,52893,2013,31,29,1.21,1,2,-,1,5,8,-,-,-,2.420',2.420'
50,271335,2013,34,33,1.21,-,4,-,-,2,8,-,-,-,-,2.923'
51,55270,2013,27,27,1.63,1,4,-,2,1,3,2,-,-,2.212',2.212'
52,44700,2013,31,24,0.75,1,-,1,-,2,4,1,-,-,2.009',2.009'
53,52994,2013,32,30,2.23,-,-,-,1,1,5,-,-,-,-,2.609'
54,103146,2013,32,28,1.86,6,-,-,7,7,10,-,-,-,328',1.970'
55,74314,2013,36,33,1.30,1,2,-,1,1,10,1,-,-,2.872',2.872'
56,75083,2013,23,23,1.26,4,1,-,1,1,8,1,-,-,495',1.980'
57,323618,2013,37,24,1.17,1,3,-,1,4,5,-,-,-,2.029',2.029'
58,38662,2013,50,41,1.41,1,-,-,1,4,8,1,2,-,3.486',3.486'
59,104545,2013,31,20,1.75,-,-,-,4,2,4,-,-,-,-,1.495'
60,177845,2013,36,26,1.42,2,2,-,1,2,5,-,-,-,1.133',2.265'
61,21480,2013,38,38,1.26,4,4,-,2,1,8,-,-,-,846',3.383'
62,42853,2013,24,19,0.63,-,-,-,-,1,3,-,-,-,-,1.671'
63,52844,2013,53,52,1.56,-,-,-,1,3,11,1,-,-,-,4.489'
64,175239,2013,21,14,1.07,-,-,-,1,1,2,-,-,-,-,1.168'
65,203060,2013,45,26,1.19,1,-,-,-,-,5,-,-,-,2.370',2.370'
66,268378,2013,29,17,2.00,-,1,-,2,3,7,-,-,-,-,1.396'
67,15419,2013,25,25,1.44,-,2,-,1,1,9,-,-,-,-,2.178'
68,52828,2013,34,32,1.03,3,-,1,-,1,1,-,1,-,938',2.813'
69,58453,2013,20,12,2.50,-,-,-,1,2,4,-,-,-,-,947'
70,70547,2013,8,6,0.83,-,1,-,3,-,1,-,-,-,-,327'
71,124543,2013,28,15,0.93,1,-,-,2,2,3,-,-,-,1.183',1.183'
72,164015,2013,35,27,1.15,-,-,1,-,-,4,-,-,-,-,2.460'
73,113336,2013,56,35,1.80,2,1,-,15,9,11,-,-,-,914',1.827'
74,155472,2013,30,30,1.27,2,-,-,-,2,3,-,-,-,1.330',2.659'
75,217863,2013,45,45,1.96,-,5,1,-,-,6,-,-,-,-,4.080'
76,161438,2013,24,19,1.37,-,1,-,1,6,4,-,-,-,-,1.528'
77,198250,2013,39,38,1.71,1,2,-,1,7,10,-,-,-,3.189',3.189'
78,14282,2013,32,32,1.06,2,-,-,-,2,11,1,-,-,1.415',2.829'
79,149577,2013,37,37,1.76,3,3,-,-,-,11,-,-,-,1.110',3.330'
80,18981,2013,9,2,2.00,-,-,-,-,-,-,-,-,-,-,180'
81,184743,2013,39,37,0.86,2,1,-,3,9,5,-,-,-,1.467',2.934'
82,216071,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,16639,2013,38,33,1.82,6,1,-,2,1,5,-,-,-,474',2.845'
84,29368,2013,42,41,1.51,1,2,-,1,4,6,-,1,1,3.459',3.459'
85,32802,2013,37,32,1.41,-,1,-,2,3,4,1,-,-,-,2.603'
86,34331,2013,3,3,3.00,-,-,-,-,1,-,-,-,-,-,236'
87,42976,2013,40,40,2.00,1,-,-,1,1,16,-,-,-,3.512',3.512'
88,45353,2013,8,5,0.40,-,-,-,1,-,3,-,-,-,-,432'
89,54273,2013,41,23,1.30,1,-,-,5,-,4,-,1,1,1.806',1.806'
90,54988,2013,33,32,1.38,2,3,-,1,4,7,-,1,-,1.388',2.775'
91,55266,2013,31,26,1.38,-,3,-,3,2,7,1,-,-,-,2.097'
92,56761,2013,33,32,1.38,-,-,-,3,3,1,-,-,-,-,2.628'
93,69441,2013,13,4,2.00,-,-,-,-,-,-,-,-,-,-,390'
94,99637,2013,30,14,2.07,-,4,-,2,2,-,-,-,-,-,1.086'
95,104544,2013,14,6,1.50,1,-,-,1,1,1,-,-,-,475',475'
96,116829,2013,37,17,1.24,-,1,-,6,-,1,-,-,-,-,1.080'
97,137159,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,182323,2013,40,25,0.80,-,2,-,8,1,4,-,-,-,-,1.760'
99,189595,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,224444,2013,19,9,0.67,-,1,-,1,2,-,1,-,-,-,683'
101,218138,2013,34,28,1.36,4,-,-,-,1,7,2,-,-,607',2.426'
102,132053,2013,5,3,2.00,-,-,-,2,1,-,-,-,-,-,76'
103,1613,2013,15,11,1.36,2,-,-,1,-,1,-,-,-,453',905'
104,25395,2013,24,22,0.95,1,-,-,-,1,7,-,-,-,1.935',1.935'
105,25854,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,27366,2013,34,34,1.03,2,-,-,-,-,5,1,-,-,1.523',3.045'
107,34394,2013,2,2,1.00,-,-,-,-,1,-,-,-,-,-,143'
108,44358,2013,15,12,1.25,-,-,-,-,1,-,-,-,-,-,1.041'
109,53842,2013,1,-,,-,-,-,-,-,-,-,-,-,-,-
110,56095,2013,41,25,1.60,-,1,-,4,2,8,-,-,-,-,1.909'
111,76102,2013,27,27,1.48,-,-,1,1,1,5,2,-,-,-,2.329'
112,99495,2013,31,26,1.92,4,2,-,13,10,4,-,-,1,296',1.182'
113,101193,2013,4,4,0.25,-,-,-,-,-,-,1,-,-,-,359'
114,101346,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,112609,2013,39,34,1.29,1,-,-,-,1,7,-,-,-,3.019',3.019'
116,113272,2013,9,3,2.00,-,-,-,2,-,-,-,-,-,-,92'
117,126203,2013,45,45,1.87,3,1,-,1,-,7,-,1,-,1.316',3.948'
118,147435,2013,44,37,1.92,3,1,-,1,2,3,1,-,-,1.051',3.154'
119,166032,2013,39,13,1.69,-,-,-,-,-,1,-,-,-,-,1.170'
120,178734,2013,38,32,1.38,1,3,-,6,6,4,-,-,-,2.442',2.442'
121,186154,2013,23,22,1.95,4,4,-,1,3,5,-,-,-,470',1.878'
122,38008,2013,32,32,1.28,1,-,-,1,1,4,-,-,-,2.780',2.780'
123,80045,2013,13,11,2.00,-,-,-,1,-,2,-,-,-,-,929'
124,144796,2013,29,22,1.55,-,1,1,6,6,6,-,-,-,-,1.535'
125,178373,2013,12,10,1.10,-,1,-,1,1,1,-,-,-,-,817'
126,145707,2014,41,41,2.34,7,5,-,-,3,15,-,-,2,512',3.581'
127,79960,2014,42,40,2.45,1,5,-,1,2,11,1,-,-,3.450',3.450'
128,21725,2014,50,26,2.23,1,1,-,6,3,4,-,-,-,1.883',1.883'
129,258254,2014,59,59,1.80,6,-,1,-,-,12,-,-,-,885',5.310'
130,61892,2014,24,17,1.82,1,1,-,4,4,3,-,-,-,1.100',1.100'
131,159142,2014,41,41,1.76,5,-,-,1,2,6,1,-,-,711',3.555'
132,101469,2014,56,54,1.98,2,1,-,-,1,10,1,-,-,2.389',4.778'
