,ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
0,46741,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,27,26000000,Brazil,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/fc-paris-saint-germain/startseite/verein/583/saison_id/2014,Paris SG,/ligue-1/transfers/wettbewerb/FR1/saison_id/2014,Ligue 1,49500000,2014,right,"Apr 22, 1987 (37)",Diadema,"2, Brazil, Portugal",1.89,57,3,2013,42,34,1.91,,3,1,5,2,11,,,,,2684
1,46741,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,29,28000000,Brazil,/fc-paris-saint-germain/startseite/verein/583/saison_id/2016,Paris SG,/ligue-1/transfers/wettbewerb/FR1/saison_id/2016,Ligue 1,/fc-chelsea/startseite/verein/631/saison_id/2016,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2016,Premier League,35000000,2016,right,"Apr 22, 1987 (37)",Diadema,"2, Brazil, Portugal",1.89,57,3,2015,45,40,2.58,3,3,,5,1,12,,,,1069,3208
2,46741,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,32,20000000,Brazil,/fc-chelsea/startseite/verein/631/saison_id/2019,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2019,Premier League,/fc-arsenal/startseite/verein/11/saison_id/2019,Arsenal,/premier-league/transfers/wettbewerb/GB1/saison_id/2019,Premier League,8700000,2019,right,"Apr 22, 1987 (37)",Diadema,"2, Brazil, Portugal",1.89,57,3,2018,58,50,2.0,3,2,,3,1,5,,,,1446,4339
3,46741,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,34,4000000,Brazil,/fc-arsenal/startseite/verein/11/saison_id/2021,Arsenal,/premier-league/transfers/wettbewerb/GB1/saison_id/2021,Premier League,/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2021,Flamengo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2021,Série A,0,2021,right,"Apr 22, 1987 (37)",Diadema,"2, Brazil, Portugal",1.89,57,3,2020,45,40,1.9,2,,,3,9,2,,1,,1493,2985
4,21725,/filipe-luis/profil/spieler/21725,Filipe Luís,Left-Back,28,15000000,Brazil,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fc-chelsea/startseite/verein/631/saison_id/2014,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,20000000,2014,left,"Aug 9, 1985 (39)",Jaraguá do Sul,"2, Brazil, Poland",1.82,44,2,2013,50,49,2.35,1,6,1,,3,7,1,1,,4273,4273
5,21725,/filipe-luis/profil/spieler/21725,Filipe Luís,Left-Back,29,15000000,Brazil,/fc-chelsea/startseite/verein/631/saison_id/2015,Chelsea,/premier-league/transfers/wettbewerb/GB1/saison_id/2015,Premier League,/atletico-madrid/startseite/verein/13/saison_id/2015,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2015,LaLiga,16000000,2015,left,"Aug 9, 1985 (39)",Jaraguá do Sul,"2, Brazil, Poland",1.82,44,2,2014,50,26,2.23,1,1,,6,3,4,,,,1883,1883
6,21725,/filipe-luis/profil/spieler/21725,Filipe Luís,Left-Back,33,3000000,Brazil,/atletico-madrid/startseite/verein/13/saison_id/2019,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2019,LaLiga,/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2019,Flamengo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019,Série A,0,2019,left,"Aug 9, 1985 (39)",Jaraguá do Sul,"2, Brazil, Poland",1.82,44,2,2018,65,53,2.11,2,3,,5,16,9,,,,2084,4167
7,149498,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,24,8000000,Brazil,/fc-villarreal/startseite/verein/1050/saison_id/2014,Villarreal,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fc-arsenal/startseite/verein/11/saison_id/2014,Arsenal,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,15000000,2014,right,"Nov 26, 1990 (34)",São Paulo,"3, Brazil, Spain, Türkiye",1.85,0,0,2013,32,21,1.48,,,1,1,,4,1,,,,1789
8,149498,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,26,13000000,Brazil,/fc-arsenal/startseite/verein/11/saison_id/2017,Arsenal,/premier-league/transfers/wettbewerb/GB1/saison_id/2017,Premier League,/fc-valencia/startseite/verein/1049/saison_id/2017,Valencia,/laliga/transfers/wettbewerb/ES1/saison_id/2017,LaLiga,11000000,2017,right,"Nov 26, 1990 (34)",São Paulo,"3, Brazil, Spain, Türkiye",1.85,0,0,2016,47,27,1.96,,,,5,2,7,,,,,2217
9,149498,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,33,2500000,Brazil,/fc-valencia/startseite/verein/1049/saison_id/2023,Valencia,/laliga/transfers/wettbewerb/ES1/saison_id/2023,LaLiga,/atletico-madrid/startseite/verein/13/saison_id/2023,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2023,LaLiga,0,2023,right,"Nov 26, 1990 (34)",São Paulo,"3, Brazil, Spain, Türkiye",1.85,0,0,2022,33,23,1.39,1,,,3,3,2,1,1,,1684,1684
10,149498,/gabriel-paulista/profil/spieler/149498,Gabriel Paulista,Centre-Back,33,2000000,Brazil,/atletico-madrid/startseite/verein/13/saison_id/2024,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2024,LaLiga,/besiktas-istanbul/startseite/verein/114/saison_id/2024,Besiktas,/super-lig/transfers/wettbewerb/TR1/saison_id/2024,Süper Lig,0,2024,right,"Nov 26, 1990 (34)",São Paulo,"3, Brazil, Spain, Türkiye",1.85,0,0,2023,39,24,1.29,,,,2,4,5,1,,,,1896
11,44373,/guilherme-siqueira/profil/spieler/44373,Guilherme Siqueira,Left-Back,28,8000000,Brazil,/fc-granada/startseite/verein/16795/saison_id/2014,Granada CF,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,10000000,2014,left,"Apr 28, 1986 (38)",Florianópolis,"2, Brazil, Italy",1.82,0,0,2013,35,33,2.52,1,1,,,7,8,2,,,2751,2751
12,225335,/wallace/profil/spieler/225335,Wallace,Centre-Back,19,100000,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,9500000,2014,right,"Oct 14, 1994 (30)",Rio de Janeiro,"1, Brazil",1.91,3,0,2013,10,7,2.57,,,,,,2,,,,,630
