ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência
106076,/ricardo-goulart/profil/spieler/106076,Ricardo Goulart,Second Striker,23,11000000.0,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/guangzhou-fc/startseite/verein/10948/saison_id/2014,GZ Evergrande,/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2014,Super League,15000000.0,2014
29424,/paulinho/profil/spieler/29424,Paulinho,Centre-Forward,28,8500000.0,Brazil,/as-livorno/startseite/verein/1210/saison_id/2014,AS Livorno,/serie-b/transfers/wettbewerb/IT2/saison_id/2014,Serie B,/al-arabi-sc/startseite/verein/1230/saison_id/2014,Al-Arabi SC,/qatar-stars-league/transfers/wettbewerb/QSL/saison_id/2014,Stars League,8000000.0,2014
193925,/romarinho/profil/spieler/193925,Romarinho,Centre-Forward,23,2000000.0,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/el-jaish-sports-club/startseite/verein/33288/saison_id/2014,El-Jaish,/qatar-stars-league/transfers/wettbewerb/QSL/saison_id/2014,Stars League,7500000.0,2014
74249,/muriqui/profil/spieler/74249,Muriqui,Left Winger,28,3500000.0,Brazil,/guangzhou-fc/startseite/verein/10948/saison_id/2014,GZ Evergrande,/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2014,Super League,/al-sadd-sc/startseite/verein/656/saison_id/2014,Al-Sadd SC,/qatar-stars-league/transfers/wettbewerb/QSL/saison_id/2014,Stars League,5900000.0,2014
37536,/diego-tardelli/profil/spieler/37536,Diego Tardelli,Centre-Forward,29,3500000.0,Brazil,/clube-atletico-mineiro/startseite/verein/330/saison_id/2014,Atlético-MG,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/shandong-taishan/startseite/verein/3182/saison_id/2014,SD Luneng,/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2014,Super League,5500000.0,2014
195004,/hernane/profil/spieler/195004,Hernane,Centre-Forward,28,2000000.0,Brazil,/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2014,Flamengo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/al-nasr-riad/startseite/verein/18544/saison_id/2014,Al-Nassr,/saudi-professional-league/transfers/wettbewerb/SA1/saison_id/2014,Saudi Pro League,5300000.0,2014
22750,/nilmar/profil/spieler/22750,Nilmar,Centre-Forward,30,5000000.0,Brazil,/el-jaish-sports-club/startseite/verein/33288/saison_id/2014,El-Jaish,/qatar-stars-league/transfers/wettbewerb/QSL/saison_id/2014,Stars League,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
53922,/alan-kardec/profil/spieler/53922,Alan Kardec,Centre-Forward,25,1500000.0,Brazil,/benfica-lissabon/startseite/verein/294/saison_id/2014,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,4500000.0,2014
18829,/vagner-love/profil/spieler/18829,Vágner Love,Centre-Forward,30,4300000.0,Brazil,/shandong-taishan/startseite/verein/3182/saison_id/2014,SD Luneng,/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2014,Super League,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
52979,/paulo-henrique/profil/spieler/52979,Paulo Henrique,Centre-Forward,25,2800000.0,Brazil,/trabzonspor/startseite/verein/449/saison_id/2014,Trabzonspor,/super-lig/transfers/wettbewerb/TR1/saison_id/2014,Süper Lig,/shanghai-shenhua/startseite/verein/3183/saison_id/2014,SH Shenhua,/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2014,Super League,4000000.0,2014
76191,/osvaldo/profil/spieler/76191,Osvaldo,Right Winger,27,4000000.0,Brazil,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/al-ahli-dschidda/startseite/verein/18487/saison_id/2014,Al-Ahli,/saudi-professional-league/transfers/wettbewerb/SA1/saison_id/2014,Saudi Pro League,1800000.0,2014
55338,/willian/profil/spieler/55338,Willian,Centre-Forward,27,3000000.0,Brazil,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,Metalist Kharkiv,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,3500000.0,2014
27376,/rafael-sobis/profil/spieler/27376,Rafael Sóbis,Centre-Forward,29,3000000.0,Brazil,/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2014,Fluminense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/tigres-uanl/startseite/verein/7055/saison_id/2014,Tigres UANL,/liga-mx-apertura/transfers/wettbewerb/MEXA/saison_id/2014,Liga MX Apertura,3300000.0,2014
114937,/dudu/profil/spieler/114937,Dudu,Left Winger,23,2500000.0,Brazil,/dynamo-kiew/startseite/verein/338/saison_id/2014,Dynamo Kyiv,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,3000000.0,2014
189516,/derley/profil/spieler/189516,Derley,Centre-Forward,26,3000000.0,Brazil,/cs-maritimo/startseite/verein/1301/saison_id/2014,Marítimo,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/benfica-lissabon/startseite/verein/294/saison_id/2014,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,2500000.0,2014
288508,/mosquito/profil/spieler/288508,Mosquito,Centre-Forward,18,500000.0,Brazil,/club-athletico-paranaense/startseite/verein/679/saison_id/2014,Atlético-PR,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/desportivo-brasil-ltda-sp-/startseite/verein/17300/saison_id/2014,Desp. Brasil,,Brazil,0.0,2014
346065,/keno/profil/spieler/346065,Keno,Left Winger,25,500000.0,Brazil,/santa-cruz-futebol-clube-pe-/startseite/verein/1785/saison_id/2014,Santa Cruz-PE,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/esporte-clube-sao-jose-rs-/startseite/verein/7535/saison_id/2014,EC São José,/campeonato-gaucho/transfers/wettbewerb/BRRS/saison_id/2014,Campeonato Gaúcho,0.0,2014
15094,/robert/profil/spieler/15094,Robert,Centre-Forward,34,450000.0,Brazil,/sampaio-correa-fc-ma-/startseite/verein/3319/saison_id/2014,Sampaio-MA,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,EC Vitória,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
54464,/jefferson/profil/spieler/54464,Jefferson,Centre-Forward,26,450000.0,Brazil,/latina-calcio-1932/startseite/verein/22045/saison_id/2014,Latina Calcio,/serie-b/transfers/wettbewerb/IT2/saison_id/2014,Serie B,/as-livorno/startseite/verein/1210/saison_id/2014,AS Livorno,/serie-b/transfers/wettbewerb/IT2/saison_id/2014,Serie B,0.0,2014
140680,/bruno-veiga/profil/spieler/140680,Bruno Veiga,Centre-Forward,25,450000.0,Brazil,/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2014,Fluminense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/duque-de-caxias-futebol-clube-rj-/startseite/verein/15656/saison_id/2014,Duque de Caxias,,Brazil,0.0,2014
37429,/sandro-mendonca/profil/spieler/37429,Sandro Mendonça,Second Striker,31,425000.0,Brazil,/abc-futebol-clube-rn-/startseite/verein/7209/saison_id/2014,ABC FC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2014,Kedah FA,,Malaysia,0.0,2014
74758,/marinho/profil/spieler/74758,Marinho,Right Winger,25,400000.0,Brazil,/ceara-sporting-club/startseite/verein/2029/saison_id/2014,Ceará SC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,340000.0,2014
50571,/adi-rocha/profil/spieler/50571,Adi Rocha,Centre-Forward,29,400000.0,Brazil,/zalgiris-vilnius/startseite/verein/602/saison_id/2014,Zalgiris,/a-lyga/transfers/wettbewerb/LI1/saison_id/2014,A Lyga,/jiangxi-liansheng/startseite/verein/36881/saison_id/2014,JX Liansheng,/china-league-one/transfers/wettbewerb/CLO/saison_id/2014,League One,135000.0,2014
139647,/nildo/profil/spieler/139647,Nildo,Centre-Forward,30,400000.0,Brazil,/xazar-lankaran/startseite/verein/8841/saison_id/2014,Khazar Lankaran,/premyer-liqasi/transfers/wettbewerb/AZ1/saison_id/2014,Premyer Liqa,/keshla-fk/startseite/verein/8956/saison_id/2014,Inter Baku,/premyer-liqasi/transfers/wettbewerb/AZ1/saison_id/2014,Premyer Liqa,50000.0,2014
14979,/ricardinho/profil/spieler/14979,Ricardinho,Centre-Forward,26,400000.0,Brazil,/america-futebol-clube-mg-/startseite/verein/2863/saison_id/2014,América-MG,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/daejeon-hana-citizen/startseite/verein/6499/saison_id/2014,Daejeon Citizen,/k-league-1/transfers/wettbewerb/RSK1/saison_id/2014,K League 1,0.0,2014
45711,/lenny/profil/spieler/45711,Lenny,Right Winger,26,400000.0,Brazil,/clube-atletico-sorocaba-sp-/startseite/verein/8422/saison_id/2014,Atl. Sorocaba,,Brazil,/boavista-sport-club-rj-/startseite/verein/11266/saison_id/2014,Boavista,,Brazil,0.0,2014
52244,/tales-schutz/profil/spieler/52244,Tales Schütz,Centre-Forward,32,400000.0,Brazil,/hong-kong-rangers/startseite/verein/15976/saison_id/2014,Rangers,/hong-kong-premier-league/transfers/wettbewerb/HGKG/saison_id/2014,Hong Kong Premier League,/esporte-clube-guarani-rs-/startseite/verein/35653/saison_id/2014,Guarani-RS,,Brazil,0.0,2014
55389,/pedro-oldoni/profil/spieler/55389,Pedro Oldoni,Centre-Forward,29,400000.0,Brazil,/portuguesa-sao-paulo/startseite/verein/10247/saison_id/2014,Portuguesa,/campeonato-paulista-serie-a1-grunddurchgang/transfers/wettbewerb/BCP1/saison_id/2014,Paulistão A1 - Primeira Fase,/macae-esporte-futebol-clube-rj-/startseite/verein/4906/saison_id/2014,Macaé,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
55389,/pedro-oldoni/profil/spieler/55389,Pedro Oldoni,Centre-Forward,29,400000.0,Brazil,/macae-esporte-futebol-clube-rj-/startseite/verein/4906/saison_id/2014,Macaé,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/associacao-atletica-anapolina-go-/startseite/verein/7319/saison_id/2014,AA Anapolina,,Brazil,0.0,2014
55389,/pedro-oldoni/profil/spieler/55389,Pedro Oldoni,Centre-Forward,29,400000.0,Brazil,/associacao-atletica-anapolina-go-/startseite/verein/7319/saison_id/2014,AA Anapolina,,Brazil,/ser-caxias-do-sul-rs-/startseite/verein/9141/saison_id/2014,Caxias-RS,/campeonato-gaucho/transfers/wettbewerb/BRRS/saison_id/2014,Campeonato Gaúcho,0.0,2014
65693,/william/profil/spieler/65693,William,Centre-Forward,31,400000.0,Brazil,/al-khor-sc/startseite/verein/5381/saison_id/2014,Al-Khor SC,/qatar-stars-league/transfers/wettbewerb/QSL/saison_id/2014,Stars League,/ceara-sporting-club/startseite/verein/2029/saison_id/2014,Ceará SC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
68541,/gabriel-pimba/profil/spieler/68541,Gabriel Pimba,Right Winger,24,400000.0,Brazil,/arapongas-esporte-clube-pr-/startseite/verein/24997/saison_id/2014,Arapongas,,Brazil,/campinense-clube-pb-/startseite/verein/1753/saison_id/2014,Campinense-PB,,Brazil,0.0,2014
70342,/roger-silva/profil/spieler/70342,Roger Silva,Centre-Forward,29,400000.0,Brazil,/suwon-samsung-bluewings/startseite/verein/3301/saison_id/2014,Suwon Bluewings,/k-league-1/transfers/wettbewerb/RSK1/saison_id/2014,K League 1,/chapecoense/startseite/verein/17776/saison_id/2014,Chapecoense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
