,ID,nome_hifen,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao
0,106076,Ricardo-Goulart,right,"Jun 5, 1991 (33)",São Paulo,"2, Brazil, China","1,81 m",1,0
1,29424,Paulinho,right,"Jan 10, 1986 (39)",Caxias do Sul,"2, Brazil, Italy","1,76 m",12,4
2,193925,Romarinho,right,"Dec 12, 1990 (34)",Palestina,"2, Brazil, Saudi Arabia","1,76 m",0,0
3,74249,Muriqui,right,"Jun 16, 1986 (38)",Itaguá,"1, Brazil","1,74 m",0,0
4,37536,Diego-Tardelli,right,"May 10, 1985 (39)",Santa Bárbara ...,"2, Brazil, Italy","1,78 m",14,3
5,195004,Hernane,right,"Apr 8, 1986 (38)",Bom Jesus da Lapa,"1, Brazil","1,83 m",0,0
6,22750,Nilmar,right,"Jul 14, 1984 (40)",Bandeirentes,"1, Brazil","1,80 m",24,9
7,53922,Alan-Kardec,right,"Jan 12, 1989 (36)",Barra Mansa,"1, Brazil","1,90 m",15,6
8,18829,Vagner-Love,right,"Jun 11, 1984 (40)",Rio de Janeiro,"1, Brazil","1,72 m",20,4
9,52979,Paulo-Henrique,right,"Mar 13, 1989 (35)",João Pessoa,"1, Brazil","1,85 m",0,0
10,76191,Osvaldo,right,"Apr 11, 1987 (37)",Fortaleza,"1, Brazil","1,70 m",2,0
11,55338,Willian,right,"Nov 19, 1986 (38)",Três Fronteiras,"1, Brazil","1,71 m",0,0
12,27376,Rafael-Sobis,right,"Jun 17, 1985 (39)",Erechim,"1, Brazil","1,75 m",8,0
13,114937,Dudu,right,"Jan 7, 1992 (33)",Goiânia,"1, Brazil","1,66 m",3,1
14,189516,Derley,right,"Dec 29, 1987 (37)",São Luís,"2, Brazil, Thailand","1,83 m",0,0
15,288508,Mosquito,right,"Jan 6, 1996 (29)",Rio de Janeiro,"2, Brazil, Thailand","1,74 m",1,0
16,346065,Keno,right,"Sep 10, 1989 (35)",Salvador,"1, Brazil","1,74 m",0,0
17,15094,Robert,right,"Feb 27, 1981 (43)",Salvador,"1, Brazil","1,86 m",4,2
18,54464,Jefferson,right,"Jan 6, 1988 (37)",Guarulhos,"2, Brazil, Italy","1,89 m",0,0
19,140680,Bruno-Veiga,right,"Jan 9, 1990 (35)",Mesquita,"1, Brazil","1,70 m",0,0
20,37429,Sandro-Mendonca,left,"Oct 1, 1983 (41)",Fortaleza,"1, Brazil","1,76 m",0,0
21,74758,Marinho,left,"May 29, 1990 (34)",Penedo,"1, Brazil","1,69 m",0,0
22,50571,Adi-Rocha,N/A,"Dec 15, 1985 (39)",Riachão,"1, Brazil",N/A,0,0
23,139647,Nildo,both,"Dec 7, 1983 (41)",Vitória,"1, Brazil","1,88 m",0,0
24,14979,Ricardinho,right,"Aug 8, 1988 (36)",Sinop,"1, Brazil","1,79 m",0,0
25,45711,Lenny,right,"Mar 23, 1988 (36)",Rio de Janeiro,"1, Brazil","1,71 m",0,0
26,52244,Tales-Schutz,left,"Aug 22, 1981 (43)",Porto Alegre,"2, Brazil, Germany","1,87 m",0,0
27,55389,Pedro-Oldoni,right,"Nov 26, 1985 (39)",Pato Branco,"2, Brazil, Italy","1,91 m",0,0
28,65693,William,right,"May 14, 1983 (41)",Rolândia,"1, Brazil","1,81 m",3,1
29,68541,Gabriel-Pimba,right,"Jul 4, 1990 (34)",Mansidão,"1, Brazil","1,73 m",5,3
30,70342,Roger-Silva,right,"Jan 7, 1985 (40)",Campinas,"1, Brazil","1,84 m",0,0
