,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
0,106076,2013,52,50,2.00,20,8,-,3,21,4,-,-,-,199',3.982'
1,29424,2013,37,36,0.69,15,4,-,-,2,8,-,-,3,216',3.234'
2,193925,2013,39,37,1.76,12,1,-,12,16,2,-,-,-,193',2.315'
3,74249,2013,18,18,1.61,5,8,-,2,11,2,-,-,-,251',1.255'
4,37536,2013,53,52,1.73,16,2,-,-,16,7,-,1,4,278',4.452'
5,195004,2013,7,5,0.80,1,-,-,-,1,-,-,-,-,401',401'
6,22750,2013,34,34,1.24,11,-,-,2,16,3,1,-,2,238',2.622'
7,53922,2013,53,51,1.98,20,5,-,2,11,4,-,1,3,209',4.188'
8,18829,2013,36,36,1.83,23,12,-,4,10,8,-,-,5,129',2.970'
9,52979,2013,63,62,1.65,29,15,1,7,23,9,-,-,-,166',4.814'
10,76191,2013,63,59,1.68,4,15,-,26,23,8,-,-,-,799',3.197'
11,55338,2013,59,56,1.96,10,7,-,21,21,11,-,-,-,327',3.271'
12,27376,2013,42,36,1.75,4,8,-,7,22,4,-,-,-,577',2.306'
13,114937,2013,73,64,1.75,9,7,-,15,26,7,-,-,-,504',4.534'
14,189516,2013,34,34,1.38,18,8,-,-,5,4,-,1,4,168',3.027'
15,288508,2013,28,15,1.67,1,1,-,13,1,1,-,-,-,527',527'
16,346065,2013,36,32,1.31,3,5,-,4,17,3,-,-,-,771',2.313'
17,15094,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,54464,2013,36,30,1.53,5,2,-,20,8,3,-,1,-,262',1.311'
19,140680,2013,5,5,0.80,-,-,-,3,-,-,-,1,-,-,290'
20,37429,2013,30,29,1.24,6,4,-,4,5,5,1,-,3,381',2.284'
21,74758,2013,20,18,0.89,1,-,-,5,7,7,-,-,-,1.221',1.221'
22,50571,2013,3,3,2.33,3,1,-,1,-,-,-,-,-,75',225'
23,139647,2013,34,34,1.26,9,-,-,10,6,4,-,-,-,235',2.116'
24,14979,2013,33,27,1.48,1,2,-,11,11,5,-,1,-,1.631',1.631'
25,45711,2013,1,1,,-,-,-,1,-,-,-,-,-,-,22'
26,52244,2013,15,15,1.47,6,-,-,-,1,5,2,-,-,220',1.317'
27,55389,2013,22,12,0.83,-,1,-,8,3,-,1,-,-,-,441'
28,65693,2013,12,12,1.17,7,-,-,-,-,2,-,-,-,154',1.080'
29,68541,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,70342,2013,36,33,1.76,7,1,-,11,9,6,-,-,1,275',1.925'
31,70784,2013,2,2,1.00,-,-,-,-,1,-,-,-,-,-,159'
32,82689,2013,41,36,1.97,2,1,-,21,11,2,-,-,-,846',1.691'
33,86260,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,100329,2013,3,3,2.00,-,-,-,1,2,-,-,-,-,-,185'
35,109624,2013,31,31,1.35,10,1,-,2,5,4,-,-,1,262',2.623'
36,117543,2013,11,7,0.14,1,-,-,2,1,-,-,-,-,451',451'
37,129124,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,134371,2013,47,43,1.77,8,2,-,12,21,7,-,-,-,325',2.596'
39,157707,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,218470,2013,51,39,1.38,5,4,-,25,12,9,-,-,-,285',1.424'
41,19216,2013,32,31,1.26,4,2,-,6,24,5,-,-,-,479',1.914'
42,55343,2013,46,41,2.02,13,1,-,20,14,3,-,-,3,161',2.098'
43,74718,2013,30,29,0.79,8,5,-,2,7,4,-,-,1,294',2.348'
44,92691,2013,40,29,1.38,4,1,-,17,7,4,-,-,-,331',1.324'
45,104592,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,141476,2013,1,1,1.00,-,-,-,1,-,-,-,-,-,-,18'
47,149379,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,212522,2013,22,22,1.86,7,-,-,4,10,5,-,-,2,216',1.509'
49,214146,2013,37,29,1.07,6,1,-,18,5,6,-,1,-,213',1.277'
50,232296,2013,6,6,1.17,2,-,-,3,2,-,-,-,-,175',349'
51,76104,2013,32,20,0.85,2,-,-,11,3,-,-,-,-,447',893'
52,170788,2013,20,12,2.33,-,1,-,4,6,1,-,-,-,-,619'
53,12151,2013,28,27,1.41,4,5,-,-,21,2,-,-,-,504',2.016'
54,15037,2013,25,19,0.74,5,-,-,3,8,2,1,-,-,274',1.368'
55,22560,2013,13,12,1.75,1,-,-,8,-,-,-,-,-,429',429'
56,22945,2013,33,26,1.96,4,-,-,8,11,1,-,-,-,376',1.504'
57,37775,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,51948,2013,17,12,1.67,1,-,-,9,2,3,-,-,-,367',367'
59,52677,2013,16,14,1.29,-,-,-,4,5,4,-,-,-,-,840'
60,56723,2013,38,26,1.19,2,2,-,9,8,2,-,-,-,804',1.607'
61,65223,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,76195,2013,7,5,1.80,2,1,-,-,4,1,-,-,-,184',368'
63,110077,2013,10,6,0.17,-,-,-,2,4,2,-,-,-,-,327'
64,115394,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,131868,2013,4,4,1.75,3,-,-,-,2,1,-,-,3,102',305'
66,178389,2013,17,17,1.18,4,-,-,5,5,3,-,-,-,297',1.186'
67,182462,2013,10,9,1.56,2,1,-,1,6,1,-,-,-,290',580'
68,197163,2013,21,21,1.33,9,-,-,-,1,3,-,-,1,211',1.903'
69,213271,2013,13,12,0.42,-,-,-,9,2,1,-,-,-,-,461'
70,234044,2013,16,13,1.31,-,1,-,7,4,2,-,-,-,-,548'
71,238222,2013,23,23,1.43,2,3,-,3,9,5,-,-,-,903',1.805'
72,268339,2013,8,3,0.33,-,-,-,2,1,-,-,-,-,-,106'
73,282296,2013,30,28,2.21,16,1,-,17,8,1,-,-,1,73',1.171'
74,286418,2013,19,14,0.57,4,1,-,4,3,-,-,-,2,222',887'
75,150065,2013,31,31,0.84,10,3,-,1,7,2,-,-,1,266',2.657'
76,309827,2013,15,13,1.77,5,-,-,2,5,2,-,-,-,195',974'
77,315310,2013,8,8,2.00,1,-,-,2,5,1,-,-,-,489',489'
78,371009,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,387614,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,53444,2013,13,11,1.00,8,1,-,3,-,-,-,-,2,94',755'
81,288506,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,118007,2013,29,28,1.11,16,7,-,3,4,3,1,-,-,141',2.259'
83,137710,2013,35,31,1.23,2,2,-,12,11,6,-,-,-,912',1.823'
84,99615,2013,45,43,1.65,8,6,-,17,20,6,-,-,-,303',2.421'
85,21488,2013,43,43,1.30,4,14,-,6,12,5,-,1,1,826',3.305'
86,27245,2013,20,19,0.79,4,2,-,7,7,1,-,-,-,301',1.203'
87,76902,2013,45,34,1.56,2,2,-,11,12,-,-,-,-,1.052',2.104'
88,45593,2013,3,1,,-,-,-,1,-,-,-,-,-,-,4'
89,44131,2013,35,34,1.35,11,3,-,5,11,7,-,-,4,219',2.404'
90,270414,2013,46,38,1.32,14,3,-,7,7,3,-,-,-,196',2.744'
91,3373,2013,17,17,1.65,3,2,-,-,7,3,-,1,1,472',1.416'
92,15880,2013,33,33,1.82,7,2,-,2,11,6,-,-,2,381',2.667'
93,67560,2013,28,27,1.15,6,4,-,8,10,1,1,-,-,273',1.635'
94,75111,2013,36,35,1.23,4,3,-,8,12,5,-,-,1,603',2.413'
95,41037,2013,29,29,1.55,8,1,-,2,12,4,-,-,2,288',2.303'
96,45717,2013,30,24,1.13,5,3,-,13,6,5,-,-,-,215',1.076'
97,54137,2013,34,34,1.35,7,5,-,1,4,7,1,-,1,423',2.959'
98,203323,2013,12,4,1.50,-,-,-,3,1,1,-,-,-,-,165'
99,213368,2013,41,40,1.40,11,6,-,15,6,7,-,-,1,222',2.444'
100,14102,2013,29,29,1.90,15,6,-,3,12,2,-,-,6,147',2.201'
101,14948,2013,33,32,1.72,9,5,-,8,8,7,-,-,-,245',2.207'
102,99510,2013,46,34,2.00,9,8,-,14,10,2,-,-,-,223',2.003'
103,158427,2013,26,25,1.64,4,5,-,10,8,2,-,-,-,358',1.432'
104,55453,2013,36,35,1.06,9,1,-,4,8,3,-,-,-,307',2.761'
105,68403,2013,28,26,0.96,10,1,-,4,9,7,1,-,-,193',1.927'
106,76134,2013,51,48,1.25,18,7,-,8,10,6,-,-,-,208',3.736'
107,105370,2013,39,38,1.71,16,3,-,1,15,13,-,-,-,193',3.090'
108,147404,2013,26,25,1.56,13,5,-,3,6,4,-,-,-,147',1.912'
109,347100,2013,48,46,1.76,12,6,-,3,14,4,-,-,1,321',3.851'
110,197154,2013,35,34,1.35,1,7,-,4,11,11,-,-,-,2.512',2.512'
111,15468,2013,23,23,1.17,9,4,-,-,5,2,-,-,1,225',2.027'
