0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,/matheus/profil/spieler/177547,Matheus,Matheus,/matheus/profil/spieler/177547,Matheus,Goalkeeper,22,-,Brazil,/america-futebol-clube-mg-/startseite/verein/2863/saison_id/2014,,/america-futebol-clube-mg-/startseite/verein/2863/saison_id/2014,,/america-futebol-clube-mg-/startseite/verein/2863/saison_id/2014,América-MG,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,€2.40m
2,/aranha/profil/spieler/75071,Aranha,Aranha,/aranha/profil/spieler/75071,Aranha,Goalkeeper,34,€2.00m,Brazil,/fc-santos/startseite/verein/221/saison_id/2014,,/fc-santos/startseite/verein/221/saison_id/2014,,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
3,/julio-cesar/profil/spieler/22412,Júlio César,Júlio César,/julio-cesar/profil/spieler/22412,Júlio César,Goalkeeper,34,€1.50m,Brazil,/queens-park-rangers/startseite/verein/1039/saison_id/2014,,/queens-park-rangers/startseite/verein/1039/saison_id/2014,,/queens-park-rangers/startseite/verein/1039/saison_id/2014,QPR,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/benfica-lissabon/startseite/verein/294/saison_id/2014,,/benfica-lissabon/startseite/verein/294/saison_id/2014,,/benfica-lissabon/startseite/verein/294/saison_id/2014,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,free transfer
4,/marcelo-lomba/profil/spieler/53015,Marcelo Lomba,Marcelo Lomba,/marcelo-lomba/profil/spieler/53015,Marcelo Lomba,Goalkeeper,28,€1.50m,Brazil,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,EC Bahia,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/aa-ponte-preta/startseite/verein/1134/saison_id/2014,,/aa-ponte-preta/startseite/verein/1134/saison_id/2014,,/aa-ponte-preta/startseite/verein/1134/saison_id/2014,Ponte Preta,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,loan transfer
5,/gabriel/profil/spieler/79242,Gabriel,Gabriel,/gabriel/profil/spieler/79242,Gabriel,Goalkeeper,21,€1.30m,Brazil,/ac-mailand/startseite/verein/5/saison_id/2014,,/ac-mailand/startseite/verein/5/saison_id/2014,,/ac-mailand/startseite/verein/5/saison_id/2014,AC Milan,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,/carpi-fc-1909/startseite/verein/4102/saison_id/2014,,/carpi-fc-1909/startseite/verein/4102/saison_id/2014,,/carpi-fc-1909/startseite/verein/4102/saison_id/2014,Carpi,/serie-b/transfers/wettbewerb/IT2/saison_id/2014,Serie B,loan transfer
6,/heurelho-gomes/profil/spieler/19059,Heurelho Gomes,Heurelho Gomes,/heurelho-gomes/profil/spieler/19059,Heurelho Gomes,Goalkeeper,33,€1.00m,Brazil,/tottenham-hotspur/startseite/verein/148/saison_id/2014,,/tottenham-hotspur/startseite/verein/148/saison_id/2014,,/tottenham-hotspur/startseite/verein/148/saison_id/2014,Tottenham,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/fc-watford/startseite/verein/1010/saison_id/2014,,/fc-watford/startseite/verein/1010/saison_id/2014,,/fc-watford/startseite/verein/1010/saison_id/2014,Watford,/championship/transfers/wettbewerb/GB2/saison_id/2014,Championship,free transfer
7,/vanderlei/profil/spieler/68727,Vanderlei,Vanderlei,/vanderlei/profil/spieler/68727,Vanderlei,Goalkeeper,30,€900k,Brazil,/coritiba-fc/startseite/verein/776/saison_id/2014,,/coritiba-fc/startseite/verein/776/saison_id/2014,,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fc-santos/startseite/verein/221/saison_id/2014,,/fc-santos/startseite/verein/221/saison_id/2014,,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
8,/tiago-volpi/profil/spieler/227671,Tiago Volpi,Tiago Volpi,/tiago-volpi/profil/spieler/227671,Tiago Volpi,Goalkeeper,24,€500k,Brazil,/figueirense-fc/startseite/verein/4064/saison_id/2014,,/figueirense-fc/startseite/verein/4064/saison_id/2014,,/figueirense-fc/startseite/verein/4064/saison_id/2014,Figueirense FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/queretaro-fc/startseite/verein/4961/saison_id/2014,,/queretaro-fc/startseite/verein/4961/saison_id/2014,,/queretaro-fc/startseite/verein/4961/saison_id/2014,Querétaro FC,/liga-mx-apertura/transfers/wettbewerb/MEXA/saison_id/2014,Liga MX Apertura,€800k
9,/marcelo-valverde/profil/spieler/103747,Marcelo Valverde,Marcelo Valverde,/marcelo-valverde/profil/spieler/103747,Marcelo Valverde,Goalkeeper,25,€800k,Brazil,/cf-uniao-madeira/startseite/verein/976/saison_id/2014,,/cf-uniao-madeira/startseite/verein/976/saison_id/2014,,/cf-uniao-madeira/startseite/verein/976/saison_id/2014,União Madeira,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,/anapolis-futebol-clube-go-/startseite/verein/17568/saison_id/2014,,/anapolis-futebol-clube-go-/startseite/verein/17568/saison_id/2014,,/anapolis-futebol-clube-go-/startseite/verein/17568/saison_id/2014,Anápolis,Brazil,free transfer,
10,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Fernando Henrique,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,31,€750k,Brazil,/internacional-de-lages/startseite/verein/46403/saison_id/2014,,/internacional-de-lages/startseite/verein/46403/saison_id/2014,,/internacional-de-lages/startseite/verein/46403/saison_id/2014,Inter de Lages,Brazil,/clube-do-remo-pa-/startseite/verein/10997/saison_id/2014,,/clube-do-remo-pa-/startseite/verein/10997/saison_id/2014,,/clube-do-remo-pa-/startseite/verein/10997/saison_id/2014,Remo,Brazil,free transfer,,
11,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Fernando Henrique,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,31,€750k,Brazil,/america-futebol-clube-rn-/startseite/verein/1751/saison_id/2014,,/america-futebol-clube-rn-/startseite/verein/1751/saison_id/2014,,/america-futebol-clube-rn-/startseite/verein/1751/saison_id/2014,América-RN,Brazil,/internacional-de-lages/startseite/verein/46403/saison_id/2014,,/internacional-de-lages/startseite/verein/46403/saison_id/2014,,/internacional-de-lages/startseite/verein/46403/saison_id/2014,Inter de Lages,Brazil,free transfer,,
12,/wilson/profil/spieler/54323,Wilson,Wilson,/wilson/profil/spieler/54323,Wilson,Goalkeeper,31,€600k,Brazil,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,EC Vitória,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/coritiba-fc/startseite/verein/776/saison_id/2014,,/coritiba-fc/startseite/verein/776/saison_id/2014,,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
13,/angelo-da-costa/profil/spieler/82693,Angelo da Costa,Angelo da Costa,/angelo-da-costa/profil/spieler/82693,Angelo da Costa,Goalkeeper,31,€600k,Brazil,/sampdoria-genua/startseite/verein/1038/saison_id/2014,,/sampdoria-genua/startseite/verein/1038/saison_id/2014,,/sampdoria-genua/startseite/verein/1038/saison_id/2014,Sampdoria,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,/fc-bologna/startseite/verein/1025/saison_id/2014,,/fc-bologna/startseite/verein/1025/saison_id/2014,,/fc-bologna/startseite/verein/1025/saison_id/2014,Bologna,/serie-b/transfers/wettbewerb/IT2/saison_id/2014,Serie B,?
14,/julio-cesar/profil/spieler/28502,Júlio César,Júlio César,/julio-cesar/profil/spieler/28502,Júlio César,Goalkeeper,29,€500k,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,Náutico,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,loan transfer
15,/julio-cesar/profil/spieler/28502,Júlio César,Júlio César,/julio-cesar/profil/spieler/28502,Júlio César,Goalkeeper,30,€500k,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,Náutico,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,free transfer
16,/bruno-cardoso/profil/spieler/53234,Bruno Cardoso,Bruno Cardoso,/bruno-cardoso/profil/spieler/53234,Bruno Cardoso,Goalkeeper,30,€500k,Brazil,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/santa-cruz-futebol-clube-pe-/startseite/verein/1785/saison_id/2014,,/santa-cruz-futebol-clube-pe-/startseite/verein/1785/saison_id/2014,,/santa-cruz-futebol-clube-pe-/startseite/verein/1785/saison_id/2014,Santa Cruz-PE,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,loan transfer
17,/cassio/profil/spieler/53841,Cássio,Cássio,/cassio/profil/spieler/53841,Cássio,Goalkeeper,33,€500k,Brazil,/fc-arouca/startseite/verein/8024/saison_id/2014,,/fc-arouca/startseite/verein/8024/saison_id/2014,,/fc-arouca/startseite/verein/8024/saison_id/2014,Arouca,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/rio-ave-fc/startseite/verein/2425/saison_id/2014,,/rio-ave-fc/startseite/verein/2425/saison_id/2014,,/rio-ave-fc/startseite/verein/2425/saison_id/2014,Rio Ave,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,?
18,/danilo-fernandes/profil/spieler/99439,Danilo Fernandes,Danilo Fernandes,/danilo-fernandes/profil/spieler/99439,Danilo Fernandes,Goalkeeper,26,€500k,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,Sport Recife,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
19,/renan/profil/spieler/100910,Renan,Renan,/renan/profil/spieler/100910,Renan,Goalkeeper,24,€500k,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/ser-caxias-do-sul-rs-/startseite/verein/9141/saison_id/2014,,/ser-caxias-do-sul-rs-/startseite/verein/9141/saison_id/2014,,/ser-caxias-do-sul-rs-/startseite/verein/9141/saison_id/2014,Caxias-RS,/campeonato-gaucho/transfers/wettbewerb/BRRS/saison_id/2014,Campeonato Gaúcho,loan transfer
20,/bruno-brigido/profil/spieler/178942,Bruno Brígido,Bruno Brígido,/bruno-brigido/profil/spieler/178942,Bruno Brígido,Goalkeeper,23,€500k,Brazil,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,Criciúma EC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/coritiba-fc/startseite/verein/776/saison_id/2014,,/coritiba-fc/startseite/verein/776/saison_id/2014,,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
