ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência
177547,/matheus/profil/spieler/177547,Matheus,Goalkeeper,22,0.0,Brazil,/america-futebol-clube-mg-/startseite/verein/2863/saison_id/2014,América-MG,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,2400000.0,2014
75071,/aranha/profil/spieler/75071,Aranha,Goalkeeper,34,2000000.0,Brazil,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
22412,/julio-cesar/profil/spieler/22412,Júlio César,Goalkeeper,34,1500000.0,Brazil,/queens-park-rangers/startseite/verein/1039/saison_id/2014,QPR,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/benfica-lissabon/startseite/verein/294/saison_id/2014,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,0.0,2014
19059,/heurelho-gomes/profil/spieler/19059,Heurelho Gomes,Goalkeeper,33,1000000.0,Brazil,/tottenham-hotspur/startseite/verein/148/saison_id/2014,Tottenham,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/fc-watford/startseite/verein/1010/saison_id/2014,Watford,/championship/transfers/wettbewerb/GB2/saison_id/2014,Championship,0.0,2014
68727,/vanderlei/profil/spieler/68727,Vanderlei,Goalkeeper,30,900000.0,Brazil,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
227671,/tiago-volpi/profil/spieler/227671,Tiago Volpi,Goalkeeper,24,500000.0,Brazil,/figueirense-fc/startseite/verein/4064/saison_id/2014,Figueirense FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/queretaro-fc/startseite/verein/4961/saison_id/2014,Querétaro FC,/liga-mx-apertura/transfers/wettbewerb/MEXA/saison_id/2014,Liga MX Apertura,800000.0,2014
103747,/marcelo-valverde/profil/spieler/103747,Marcelo Valverde,Goalkeeper,25,800000.0,Brazil,/cf-uniao-madeira/startseite/verein/976/saison_id/2014,União Madeira,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,/anapolis-futebol-clube-go-/startseite/verein/17568/saison_id/2014,Anápolis,,Brazil,0.0,2014
53371,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,31,750000.0,Brazil,/internacional-de-lages/startseite/verein/46403/saison_id/2014,Inter de Lages,,Brazil,/clube-do-remo-pa-/startseite/verein/10997/saison_id/2014,Remo,,Brazil,0.0,2014
53371,/fernando-henrique/profil/spieler/53371,Fernando Henrique,Goalkeeper,31,750000.0,Brazil,/america-futebol-clube-rn-/startseite/verein/1751/saison_id/2014,América-RN,,Brazil,/internacional-de-lages/startseite/verein/46403/saison_id/2014,Inter de Lages,,Brazil,0.0,2014
54323,/wilson/profil/spieler/54323,Wilson,Goalkeeper,31,600000.0,Brazil,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,EC Vitória,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
