,ID,nome_hifen,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao
0,177547,Matheus,right,"Mar 29, 1992 (32)",Belo Horizonte,"2, Brazil, Portugal","1,90 m",0,0
1,75071,Aranha,left,"Nov 17, 1980 (44)",Pouso Alegre,"1, Brazil","1,93 m",0,0
2,22412,Julio-Cesar,left,"Sep 3, 1979 (45)",Duque de Caxias,"1, Brazil","1,86 m",87,0
3,19059,Heurelho-Gomes,right,"Feb 15, 1981 (43)",João Pinheiro,"1, Brazil","1,91 m",11,0
4,68727,Vanderlei,right,"Feb 1, 1984 (40)",Porecatu,"1, Brazil","1,95 m",0,0
5,227671,Tiago-Volpi,right,"Dec 19, 1990 (34)",Blumenau,"2, Brazil, Mexico","1,89 m",0,0
6,103747,Marcelo-Valverde,right,"Nov 21, 1989 (35)",Rio de Janeiro,"2, Brazil, Portugal","1,85 m",0,0
7,53371,Fernando-Henrique,right,"Nov 25, 1983 (41)",Bauru,"1, Brazil","1,89 m",1,0
8,54323,Wilson,right,"Jan 31, 1984 (40)",Santo André,"1, Brazil","1,85 m",0,0
9,28502,Julio-Cesar,left,"Oct 27, 1984 (40)",São Paulo,"1, Brazil","1,85 m",0,0
10,99439,Danilo-Fernandes,right,"Apr 3, 1988 (36)",Guarulhos,"1, Brazil","1,88 m",0,0
11,178942,Bruno-Brigido,right,"Mar 9, 1991 (33)",Criciúma,"2, Brazil, Portugal","1,87 m",0,0
12,45023,Christian-Leite,N/A,"Nov 9, 1985 (39)",Rio de Janeiro,"2, Brazil, Switzerland",N/A,0,0
13,54146,Lauro,right,"Sep 3, 1980 (44)",Andradina,"2, Brazil, Italy","1,93 m",0,0
14,122844,Victor-Golas,right,"Dec 27, 1990 (34)",Arapongas,"2, Brazil, Poland","1,93 m",0,0
15,76429,Rafael,right,"Mar 24, 1984 (40)",Araraquara,"1, Brazil","1,92 m",0,0
16,111819,Neto,right,"Jul 19, 1989 (35)",Araxá,"3, Brazil, England, Italy","1,90 m",1,0
17,277743,Alex-Muralha,right,"Nov 10, 1989 (35)",Três Corações,"1, Brazil","1,89 m",0,0
18,74584,Agenor,left,"Dec 11, 1989 (35)",Erechim,"1, Brazil","1,87 m",2,0
19,238223,Ederson,left,"Aug 17, 1993 (31)",Osasco,"3, Brazil, England, Portugal","1,88 m",29,0
