,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
0,177547,2013,26,26,1.54,-,0,-,-,-,-,-,-,31,8,2.340'
1,75071,2013,58,58,1.71,-,0,-,-,-,5,-,-,53,23,5.220'
2,22412,2013,9,8,1.13,-,0,-,-,-,1,-,-,13,2,720'
3,19059,2013,2,-,,-,0,-,-,-,-,-,-,-,-,-
4,68727,2013,45,45,1.33,-,0,-,-,-,2,-,-,52,17,4.050'
5,227671,2013,39,39,1.21,-,0,-,-,-,4,-,-,49,11,3.510'
6,103747,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,53371,2013,29,23,1.39,-,0,-,-,1,1,-,-,28,5,2.014'
8,54323,2013,31,26,0.88,-,0,-,-,1,2,-,-,31,5,2.295'
9,28502,2013,33,24,1.33,-,0,-,-,-,2,-,-,28,7,2.160'
10,99439,2013,42,-,,-,0,-,-,-,-,-,-,-,-,-
11,178942,2013,32,21,0.86,-,0,-,-,1,-,-,-,33,2,1.833'
12,45023,2013,30,21,1.24,-,0,-,-,-,1,-,-,29,7,1.890'
13,54146,2013,5,1,,-,0,-,-,-,-,-,-,2,-,90'
14,122844,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,76429,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,111819,2014,47,38,1.58,-,0,-,-,-,5,-,-,46,13,3.420'
17,99439,2014,50,41,1.51,-,0,-,-,-,-,-,-,44,15,3.690'
18,277743,2014,47,44,1.25,-,0,-,-,-,4,-,-,51,11,3.960'
19,74584,2014,41,33,0.91,-,0,-,-,-,1,-,-,41,10,2.970'
20,238223,2014,55,28,1.14,-,0,-,-,-,4,-,-,33,7,2.520'
21,27346,2014,53,8,2.38,-,0,-,-,-,1,-,-,6,5,720'
22,52880,2014,32,3,1.00,-,0,-,-,-,1,-,-,7,-,270'
23,103747,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,68102,2014,23,7,2.29,-,0,-,-,-,1,-,-,9,2,630'
25,20394,2014,41,20,2.30,-,0,-,1,-,1,-,1,10,13,1.677'
26,44177,2014,27,25,1.32,-,0,-,-,-,4,-,-,22,9,2.250'
27,103370,2014,42,39,0.90,-,0,-,-,-,4,-,-,68,5,3.540'
28,140604,2014,23,1,3.00,-,0,-,-,-,-,-,-,1,-,90'
29,269686,2014,41,9,0.44,-,0,-,-,-,-,-,-,13,2,810'
30,54338,2014,62,51,1.76,-,0,-,1,1,8,-,-,52,19,4.513'
31,122844,2014,13,3,1.33,-,0,-,-,-,1,-,-,4,1,270'
32,175247,2014,24,1,3.00,-,0,-,-,-,-,-,-,1,-,90'
33,212215,2014,32,6,1.33,-,0,-,1,-,3,-,-,8,-,476'
34,377799,2014,18,18,1.44,-,0,-,-,-,1,-,-,13,8,1.620'
35,33735,2014,40,39,1.64,-,0,-,-,-,5,-,-,36,18,3.510'
36,105470,2015,21,21,2.00,-,0,-,-,-,1,-,-,8,15,1.890'
37,53015,2015,43,25,1.24,-,0,-,-,-,1,-,-,29,9,2.250'
38,91953,2015,57,46,1.67,-,0,-,2,-,5,-,-,51,16,4.018'
39,68102,2015,60,60,1.52,-,0,-,-,-,6,-,-,61,21,5.400'
40,101552,2015,30,30,1.90,-,0,-,-,-,1,-,-,14,17,2.700'
41,45372,2015,27,19,1.47,-,0,-,-,2,2,-,-,22,8,1.594'
42,103747,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,27346,2015,70,16,1.44,-,0,-,2,1,1,-,-,27,2,1.310'
44,53371,2015,4,4,0.75,-,0,-,-,-,-,-,-,7,1,360'
45,84467,2015,41,14,0.79,-,0,-,-,-,-,-,1,20,2,1.190'
46,101466,2015,28,21,1.48,1,0,-,-,1,2,-,-,28,6,1.869'
47,75071,2015,26,26,1.31,-,0,-,-,1,2,-,-,30,8,2.340'
48,122844,2015,32,31,1.00,-,0,-,-,-,5,-,-,40,7,2.790'
49,11858,2015,41,36,1.92,-,0,-,-,1,5,-,1,33,11,3.175'
50,91296,2015,21,6,1.17,-,0,-,-,-,-,-,1,10,-,479'
51,189682,2015,49,46,1.24,-,0,-,-,3,-,-,1,55,15,4.018'
52,412610,2015,39,38,1.50,-,0,-,-,1,2,-,-,31,13,3.387'
53,53036,2015,16,9,1.11,-,0,-,-,-,1,-,-,16,2,810'
54,54338,2015,4,4,1.00,-,0,-,-,1,-,-,-,5,2,315'
55,84363,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,238223,2016,49,40,2.28,-,0,-,-,-,5,-,1,27,24,3.552'
57,111819,2016,57,14,2.64,-,0,-,1,-,-,-,-,9,8,1.215'
58,42373,2016,63,57,1.28,-,0,1,-,1,6,-,-,81,16,5.060'
59,69400,2016,50,50,1.36,-,0,-,-,-,3,-,-,65,14,4.500'
60,371231,2016,42,42,1.36,-,0,-,-,-,4,-,-,50,13,3.780'
61,374094,2016,57,30,1.20,-,0,-,-,-,3,-,-,36,10,2.700'
62,291963,2016,38,35,1.23,-,0,-,-,-,3,-,-,47,10,3.150'
63,27364,2016,15,1,1.00,-,0,-,-,-,1,-,-,1,-,90'
64,67886,2016,42,24,1.04,-,0,-,-,-,2,-,-,37,6,2.160'
65,212198,2016,40,29,1.41,-,0,-,-,-,3,-,-,35,8,2.610'
66,512344,2016,54,53,1.26,-,0,-,-,-,3,-,-,66,16,4.770'
67,75102,2016,41,7,1.71,-,0,-,-,-,-,-,-,7,3,630'
68,95142,2016,39,30,1.20,-,0,-,-,-,2,-,-,38,7,2.700'
69,27349,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,68408,2016,59,2,1.50,-,0,-,-,-,1,-,-,1,1,180'
71,75071,2016,62,62,1.29,-,0,-,-,-,3,-,-,79,21,5.580'
72,149582,2016,32,32,1.09,-,0,-,-,1,3,-,-,37,8,2.880'
73,52953,2016,21,19,0.74,-,0,-,-,-,1,-,-,29,2,1.710'
74,190909,2016,29,26,1.04,-,0,-,-,-,4,-,-,33,5,2.340'
75,347017,2016,42,17,1.53,-,0,-,1,1,2,-,-,14,7,1.505'
76,351229,2016,26,11,1.09,-,0,-,-,-,1,-,-,13,2,990'
77,479211,2016,60,8,0.75,-,0,-,1,-,-,-,-,9,2,696'
78,581915,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,105470,2017,50,49,1.92,-,0,-,-,-,1,-,-,47,22,4.410'
80,371247,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,52313,2017,48,48,1.98,-,0,-,-,1,3,-,-,25,28,4.335'
82,512344,2017,60,60,1.42,-,0,-,-,-,3,-,-,60,25,5.400'
83,95142,2017,17,17,1.06,-,0,-,-,-,4,-,-,26,4,1.530'
84,79242,2017,23,16,2.38,-,0,-,-,-,2,-,-,14,6,1.440'
85,52647,2017,62,62,1.53,-,0,-,-,1,4,-,-,59,28,5.535'
86,91953,2017,57,46,1.70,-,0,-,-,-,4,-,-,37,23,4.140'
87,52880,2017,7,7,1.29,-,0,-,-,-,-,-,-,12,2,630'
88,270420,2017,37,37,1.19,-,0,-,-,-,2,-,-,42,11,3.330'
89,106032,2017,65,65,1.51,1,0,-,-,-,8,-,-,59,25,5.850'
90,103916,2017,41,-,,-,0,-,-,-,-,-,-,-,-,-
91,26231,2017,26,14,1.21,-,0,-,-,-,-,-,-,10,6,1.260'
92,212216,2017,42,40,1.13,-,0,1,-,-,3,-,-,57,7,3.630'
93,68408,2017,44,44,1.27,-,0,-,-,-,1,-,-,49,11,3.960'
94,438682,2017,4,-,,-,0,-,-,-,-,-,-,-,-,-
95,68442,2017,36,36,1.25,-,0,-,-,-,4,-,-,47,11,3.240'
96,101552,2017,32,31,1.39,-,0,-,-,1,3,-,-,30,13,2.775'
97,159893,2017,31,22,0.41,-,0,-,-,1,2,-,-,36,1,1.935'
98,74584,2017,32,20,1.40,-,0,-,1,-,-,-,-,16,10,1.737'
99,84363,2017,11,11,1.45,-,0,-,-,-,1,-,-,12,4,990'
100,541232,2017,43,32,2.19,-,0,-,-,-,2,-,-,35,10,2.910'
101,228049,2017,13,8,0.63,-,0,-,-,-,2,-,-,13,2,720'
102,111819,2018,60,47,1.57,-,0,-,-,-,2,-,-,49,14,4.230'
103,371247,2018,12,-,,-,0,-,-,-,-,-,-,-,-,-
104,288415,2018,42,38,1.34,-,0,-,-,-,2,-,-,59,7,3.420'
105,468247,2018,72,39,1.62,-,0,-,-,-,2,-,-,37,11,3.510'
106,227671,2018,80,79,1.44,-,0,-,-,-,2,-,-,71,29,7.110'
107,68727,2018,63,23,1.74,-,0,-,-,-,1,-,-,23,12,2.070'
108,258367,2018,51,50,1.40,-,0,-,-,1,1,-,-,69,15,4.470'
109,79242,2018,37,37,1.35,-,0,-,-,-,3,-,-,53,8,3.360'
110,27349,2018,64,58,1.31,-,0,-,-,-,5,-,1,67,20,5.152'
111,75102,2018,34,34,1.59,-,0,-,-,-,1,-,-,25,14,3.060'
112,68097,2018,67,3,1.33,-,0,-,-,-,-,-,-,2,2,270'
113,68408,2018,39,13,0.46,-,0,-,1,-,1,-,1,18,3,1.080'
114,76139,2018,36,36,1.47,-,0,-,-,-,7,-,-,34,15,3.240'
115,101552,2018,31,31,1.06,-,0,-,-,-,5,-,-,29,8,2.850'
116,103916,2018,40,4,1.75,-,0,-,-,-,-,-,-,3,2,390'
117,116420,2018,25,21,0.76,-,0,-,1,-,-,-,-,29,3,1.853'
118,181777,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,372201,2018,30,30,1.70,-,0,-,1,1,4,-,-,44,8,2.685'
120,573907,2018,25,18,1.22,-,0,-,-,1,2,-,-,22,7,1.598'
121,52880,2018,36,32,1.19,-,0,-,-,-,4,-,-,45,8,2.880'
122,74584,2018,62,9,0.67,-,0,-,-,-,1,1,-,13,1,816'
123,149582,2018,30,1,,-,0,-,-,-,2,-,-,2,-,90'
124,200455,2018,14,14,1.86,-,0,-,-,1,-,-,-,9,8,1.250'
125,136574,2018,14,-,,-,0,-,-,-,-,-,-,-,-,-
126,610408,2018,37,21,1.29,-,0,-,-,1,2,-,-,29,6,1.875'
127,175383,2019,31,22,0.95,-,0,-,-,-,2,-,-,29,5,2.010'
128,106032,2019,41,39,1.72,-,0,-,-,-,2,-,-,43,14,3.510'
129,68727,2019,61,58,1.81,-,0,-,-,-,3,-,-,54,24,5.220'
130,212198,2019,35,23,1.70,-,0,-,1,-,4,-,-,23,7,2.093'
131,662334,2019,2,-,,-,0,-,-,-,-,-,-,-,-,-
132,277743,2019,45,13,1.92,-,0,-,-,-,-,-,-,14,4,1.170'
133,255928,2019,7,1,,-,0,-,-,-,-,-,-,1,-,90'
134,116420,2019,29,28,1.86,1,0,-,-,-,5,-,-,20,16,2.520'
135,202959,2019,3,3,,-,0,-,-,-,-,-,-,11,-,270'
136,270420,2019,52,52,1.88,-,0,-,-,-,3,-,-,28,31,4.710'
137,573907,2019,10,8,1.25,-,0,-,-,-,2,-,-,6,2,720'
138,610408,2019,12,-,,-,0,-,-,-,-,-,-,-,-,-
139,723168,2019,45,45,1.82,-,0,-,-,-,3,-,-,35,20,4.080'
140,841263,2019,1,-,,-,0,-,-,-,-,-,-,-,-,-
141,140811,2020,48,48,1.77,-,0,-,-,-,3,-,-,46,19,4.320'
142,364257,2020,27,26,1.50,-,0,-,-,-,4,-,-,30,8,2.340'
143,371231,2020,25,25,1.80,-,0,-,-,-,3,-,-,16,15,2.250'
144,412372,2020,47,24,1.21,-,0,-,-,-,1,-,-,40,1,2.160'
145,512344,2020,20,1,1.00,-,0,-,-,-,-,-,-,-,1,90'
146,53015,2020,55,29,1.14,-,0,-,-,-,-,-,-,36,5,2.610'
147,99439,2020,27,19,1.37,-,0,-,-,-,2,-,1,18,9,1.710'
148,98930,2020,54,4,1.25,-,0,-,-,-,2,-,-,6,-,360'
149,374094,2020,52,29,1.45,-,0,-,-,-,1,-,-,32,9,2.610'
150,103916,2020,45,45,1.53,-,0,-,-,-,1,-,-,52,17,4.050'
151,273250,2020,47,8,1.25,-,0,-,2,-,-,-,1,11,2,627'
152,387925,2020,32,13,1.08,-,0,-,-,-,-,-,-,14,2,1.170'
153,412685,2020,41,32,1.25,-,0,-,-,1,4,-,-,25,16,2.835'
154,54323,2020,49,48,1.60,-,0,-,-,-,2,-,-,47,17,4.320'
155,67886,2020,6,4,1.75,-,0,-,-,-,1,-,-,2,2,360'
156,175172,2020,38,28,1.54,-,0,-,-,-,5,-,1,26,11,2.518'
157,212198,2020,25,6,1.00,-,0,-,-,-,2,-,-,9,-,540'
158,22415,2020,54,54,1.39,-,0,-,-,-,1,1,-,49,23,4.813'
159,181773,2020,24,4,0.75,-,0,-,-,-,1,-,-,11,-,390'
160,269860,2020,46,46,1.43,-,0,-,-,-,3,-,-,34,23,4.140'
161,408850,2020,9,-,,-,0,-,-,-,-,-,-,-,-,-
162,573907,2020,14,3,0.33,-,0,-,-,-,2,-,-,3,1,270'
163,645897,2020,51,24,1.42,-,0,-,1,-,1,-,-,31,10,2.071'
164,99523,2020,28,23,1.57,-,0,-,-,1,2,-,-,25,9,2.025'
165,177776,2020,9,-,,-,0,-,-,-,-,-,-,-,-,-
166,438431,2020,41,8,2.38,-,0,-,-,-,-,-,-,5,3,720'
167,76139,2020,41,40,1.95,-,0,-,-,2,9,-,-,27,17,3.472'
168,102227,2020,8,8,0.38,-,0,-,-,-,1,-,-,11,3,720'
169,530421,2021,52,46,1.72,-,0,-,-,-,5,-,-,44,19,4.140'
170,288415,2021,27,21,1.43,-,0,-,-,-,1,-,-,25,9,1.890'
171,111819,2021,51,4,2.50,-,0,-,-,-,-,-,-,5,-,360'
172,227671,2021,23,7,1.71,-,0,-,-,-,1,-,-,10,2,630'
173,515496,2021,40,40,1.58,-,0,-,-,-,1,-,-,26,19,3.600'
174,175383,2021,53,7,2.29,-,0,-,-,-,1,-,-,8,3,660'
175,284701,2021,32,31,1.13,-,0,-,-,-,5,-,-,37,9,2.790'
176,79242,2021,51,46,1.70,-,0,-,1,1,2,-,-,47,18,4.091'
177,352041,2021,56,45,1.27,-,0,-,1,-,4,-,1,51,15,3.994'
