,ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,gols_sofridos,clean_sheets,minutos
0,177547,/matheus/profil/spieler/177547,Matheus,Goalkeeper,22,0,Brazil,/america-futebol-clube-mg-/startseite/verein/2863/saison_id/2014,América-MG,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,2400000,2014,right,"Mar 29, 1992 (32)",Belo Horizonte,"2, Brazil, Portugal",1.9,0,0,2013,26,26,1.54,,0,,,,,,,31,8,2340
1,75071,/aranha/profil/spieler/75071,Aranha,Goalkeeper,34,2000000,Brazil,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0,2014,left,"Nov 17, 1980 (44)",Pouso Alegre,"1, Brazil",1.93,0,0,2013,58,58,1.71,,0,,,,5,,,53,23,5220
2,75071,/aranha/profil/spieler/75071,Aranha,Goalkeeper,35,450000,Brazil,/joinville-ec-sc-/startseite/verein/3330/saison_id/2016,Joinville-SC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2016,Série B,/aa-ponte-preta/startseite/verein/1134/saison_id/2016,Ponte Preta,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2016,Série A,55000,2016,left,"Nov 17, 1980 (44)",Pouso Alegre,"1, Brazil",1.93,0,0,2015,26,26,1.31,,0,,,1,2,,,30,8,2340
3,75071,/aranha/profil/spieler/75071,Aranha,Goalkeeper,37,600000,Brazil,/aa-ponte-preta/startseite/verein/1134/saison_id/2017,Ponte Preta,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2017,Série B,/avai-fc-sc-/startseite/verein/2035/saison_id/2017,Avaí FC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2017,Série B,0,2017,left,"Nov 17, 1980 (44)",Pouso Alegre,"1, Brazil",1.93,0,0,2016,62,62,1.29,,0,,,,3,,,79,21,5580
4,22412,/julio-cesar/profil/spieler/22412,Júlio César,Goalkeeper,34,1500000,Brazil,/queens-park-rangers/startseite/verein/1039/saison_id/2014,QPR,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/benfica-lissabon/startseite/verein/294/saison_id/2014,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,0,2014,left,"Sep 3, 1979 (45)",Duque de Caxias,"1, Brazil",1.86,87,0,2013,9,8,1.13,,0,,,,1,,,13,2,720
5,19059,/heurelho-gomes/profil/spieler/19059,Heurelho Gomes,Goalkeeper,33,1000000,Brazil,/tottenham-hotspur/startseite/verein/148/saison_id/2014,Tottenham,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/fc-watford/startseite/verein/1010/saison_id/2014,Watford,/championship/transfers/wettbewerb/GB2/saison_id/2014,Championship,0,2014,right,"Feb 15, 1981 (43)",João Pinheiro,"1, Brazil",1.91,11,0,2013,2,,,,0,,,,,,,,,
6,68727,/vanderlei/profil/spieler/68727,Vanderlei,Goalkeeper,30,900000,Brazil,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0,2014,right,"Feb 1, 1984 (40)",Porecatu,"1, Brazil",1.95,0,0,2013,45,45,1.33,,0,,,,2,,,52,17,4050
7,68727,/vanderlei/profil/spieler/68727,Vanderlei,Goalkeeper,35,1000000,Brazil,/fc-santos/startseite/verein/221/saison_id/2019,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019,Série A,/gremio-porto-alegre/startseite/verein/210/saison_id/2019,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019,Série A,650000,2019,right,"Feb 1, 1984 (40)",Porecatu,"1, Brazil",1.95,0,0,2018,63,23,1.74,,0,,,,1,,,23,12,2070
8,68727,/vanderlei/profil/spieler/68727,Vanderlei,Goalkeeper,37,900000,Brazil,/gremio-porto-alegre/startseite/verein/210/saison_id/2020,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2020,Série A,/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2020,Vasco da Gama,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2020,Série B,0,2020,right,"Feb 1, 1984 (40)",Porecatu,"1, Brazil",1.95,0,0,2019,61,58,1.81,,0,,,,3,,,54,24,5220
9,227671,/tiago-volpi/profil/spieler/227671,Tiago Volpi,Goalkeeper,24,500000,Brazil,/figueirense-fc/startseite/verein/4064/saison_id/2014,Figueirense FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/queretaro-fc/startseite/verein/4961/saison_id/2014,Querétaro FC,/liga-mx-apertura/transfers/wettbewerb/MEXA/saison_id/2014,Liga MX Apertura,800000,2014,right,"Dec 19, 1990 (34)",Blumenau,"2, Brazil, Mexico",1.89,0,0,2013,39,39,1.21,,0,,,,4,,,49,11,3510
