ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência
51174,/fernando/profil/spieler/51174,Fernando,Defensive Midfield,26,17500000.0,Brazil,/fc-porto/startseite/verein/720/saison_id/2014,FC Porto,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/manchester-city/startseite/verein/281/saison_id/2014,Man City,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,15000000.0,2014
52896,/everton-ribeiro/profil/spieler/52896,Everton Ribeiro,Attacking Midfield,25,17000000.0,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/al-ahli-dubai-club/startseite/verein/15541/saison_id/2014,Al-Ahli (UAE),/uae-arabian-gulf-league/transfers/wettbewerb/UAE1/saison_id/2014,UAE Pro League,15000000.0,2014
218118,/lucas-silva/profil/spieler/218118,Lucas Silva,Defensive Midfield,21,12000000.0,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/real-madrid/startseite/verein/418/saison_id/2014,Real Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,13000000.0,2014
74590,/sandro/profil/spieler/74590,Sandro,Defensive Midfield,25,11000000.0,Brazil,/tottenham-hotspur/startseite/verein/148/saison_id/2014,Tottenham,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/queens-park-rangers/startseite/verein/1039/saison_id/2014,QPR,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,7500000.0,2014
4248,/diego/profil/spieler/4248,Diego,Attacking Midfield,29,10000000.0,Brazil,/atletico-madrid/startseite/verein/13/saison_id/2014,Atlético Madrid,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/fenerbahce-istanbul/startseite/verein/36/saison_id/2014,Fenerbahce,/super-lig/transfers/wettbewerb/TR1/saison_id/2014,Süper Lig,0.0,2014
54375,/giuliano/profil/spieler/54375,Giuliano,Attacking Midfield,24,8000000.0,Brazil,/dnipro-dnipropetrovsk/startseite/verein/339/saison_id/2014,Dnipro,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,6000000.0,2014
126422,/allan/profil/spieler/126422,Allan,Defensive Midfield,23,7500000.0,Brazil,/fc-granada/startseite/verein/16795/saison_id/2014,Granada CF,/laliga/transfers/wettbewerb/ES1/saison_id/2014,LaLiga,/udinese-calcio/startseite/verein/410/saison_id/2014,Udinese Calcio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,3000000.0,2014
3366,/kaka/profil/spieler/3366,Kaká,Attacking Midfield,32,6000000.0,Brazil,/ac-mailand/startseite/verein/5/saison_id/2014,AC Milan,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,/orlando-city-sc/startseite/verein/45604/saison_id/2014,Orlando,,United States,0.0,2014
26270,/arouca/profil/spieler/26270,Arouca,Defensive Midfield,28,6000000.0,Brazil,/fc-santos/startseite/verein/221/saison_id/2014,Santos,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
27378,/cleiton-xavier/profil/spieler/27378,Cleiton Xavier,Attacking Midfield,31,6000000.0,Brazil,/metalist-kharkiv/startseite/verein/6414/saison_id/2014,Metalist Kharkiv,/premier-liga/transfers/wettbewerb/UKR1/saison_id/2014,Premier Liga,/se-palmeiras-sao-paulo/startseite/verein/1023/saison_id/2014,Palmeiras,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
