,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
0,51174,2013,46,45,1.82,1,2,-,-,5,12,1,1,-,3.948',3.948'
1,52896,2013,56,54,2.04,8,15,-,1,23,8,-,-,1,560',4.480'
2,218118,2013,56,48,2.02,1,2,-,3,12,8,-,-,1,3.727',3.727'
3,74590,2013,33,27,1.78,1,-,1,7,11,9,-,-,-,1.630',1.630'
4,4248,2013,44,37,1.84,7,4,-,12,10,11,-,-,1,328',2.294'
5,54375,2013,49,47,1.85,8,7,-,12,10,4,-,-,-,422',3.375'
6,126422,2013,44,41,1.39,-,3,-,3,5,6,1,-,-,-,3.364'
7,3366,2013,67,61,1.57,12,11,-,4,27,10,-,-,-,412',4.949'
8,26270,2013,57,57,1.75,4,3,-,-,9,1,-,-,-,1.249',4.995'
9,27378,2013,21,21,1.76,7,3,-,3,6,2,-,-,2,217',1.521'
10,74600,2013,29,29,1.69,4,2,-,2,6,8,-,-,-,597',2.386'
11,56676,2013,53,41,2.10,3,2,-,14,4,5,-,1,-,867',2.601'
12,258626,2013,13,13,1.23,2,-,-,-,5,4,-,-,1,542',1.084'
13,115382,2013,22,21,1.67,3,-,-,1,3,6,-,-,-,594',1.783'
14,273438,2013,7,6,2.00,-,-,-,-,1,1,-,-,-,-,495'
15,270188,2013,11,4,1.50,1,-,-,3,-,1,-,-,-,138',138'
16,31645,2013,36,17,1.71,-,-,-,9,8,-,-,-,-,-,604'
17,73741,2013,52,52,1.73,4,3,-,1,8,9,-,-,-,1.131',4.525'
18,169052,2013,1,1,3.00,-,-,-,-,-,-,-,-,-,-,90'
19,54183,2013,62,46,1.50,5,7,-,20,18,1,-,-,-,485',2.427'
20,68841,2013,39,34,1.21,3,4,-,2,7,7,-,-,1,932',2.795'
21,76848,2013,29,29,1.83,1,3,-,2,12,4,1,1,-,2.220',2.220'
22,76904,2013,30,16,1.06,2,-,-,10,5,3,-,-,-,290',580'
23,108344,2013,20,18,1.83,2,-,-,9,7,3,-,-,-,436',872'
24,117544,2013,34,30,0.83,10,1,-,8,9,5,-,-,5,198',1.983'
25,146887,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,214148,2013,30,26,1.42,2,-,-,5,10,1,-,-,-,873',1.746'
27,231699,2013,13,11,1.00,2,-,-,1,7,-,-,-,-,345',689'
28,27371,2013,28,28,0.75,1,4,-,1,2,8,-,-,1,2.449',2.449'
29,33542,2013,7,7,1.86,-,-,-,-,3,2,-,-,-,-,562'
30,75369,2013,22,16,1.69,1,-,-,12,4,1,1,-,-,518',518'
31,226155,2013,2,-,,-,-,-,-,-,-,-,-,-,-,-
32,363175,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,55499,2013,34,33,1.15,7,1,-,7,5,-,-,-,3,358',2.507'
34,31128,2013,17,7,2.00,-,-,-,4,3,-,-,-,-,-,219'
35,53062,2013,8,8,1.25,2,-,-,-,5,2,-,-,1,338',676'
36,53743,2013,28,24,1.08,4,4,-,8,14,3,-,-,2,395',1.578'
37,53809,2013,28,28,2.29,21,2,-,2,6,4,-,1,3,108',2.271'
38,54979,2013,29,28,1.93,5,10,-,9,4,2,-,-,-,363',1.814'
39,56653,2013,23,15,1.47,2,-,-,6,8,2,-,-,-,355',709'
40,59868,2013,24,15,1.53,-,-,-,8,5,2,-,1,-,-,608'
41,70831,2013,23,22,1.91,1,-,-,3,5,4,-,-,-,1.659',1.659'
42,85652,2013,41,38,1.76,1,-,-,15,6,10,-,-,-,2.376',2.376'
43,97507,2013,13,13,1.46,1,-,-,-,1,3,-,-,-,1.149',1.149'
44,99557,2013,22,21,0.52,1,-,-,7,7,5,-,-,-,1.297',1.297'
45,99679,2013,13,11,1.73,-,-,-,4,7,4,-,-,-,-,577'
46,105486,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,113074,2013,24,13,1.85,-,2,-,11,1,1,-,-,-,-,405'
48,137181,2013,12,12,1.83,4,-,-,1,4,1,-,-,-,247',989'
49,137225,2013,4,3,1.00,-,-,-,3,-,-,-,-,-,-,57'
50,149572,2013,44,43,1.63,7,3,-,6,27,7,-,2,-,427',2.992'
51,209263,2013,18,16,1.63,-,-,-,6,3,5,-,-,-,-,912'
52,213402,2013,7,6,0.83,-,-,-,5,1,2,-,-,-,-,198'
53,179048,2013,21,13,1.23,1,-,-,3,8,1,-,-,-,786',786'
54,151639,2013,40,24,1.50,1,-,-,17,6,3,-,-,1,792',792'
55,378977,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,53359,2013,43,43,1.72,13,11,-,4,9,8,-,2,7,267',3.468'
57,76092,2013,46,43,2.12,-,-,-,1,8,14,-,1,-,-,3.648'
58,45596,2013,33,33,1.91,8,8,-,-,11,5,1,-,-,344',2.750'
59,52929,2013,43,42,1.64,5,2,-,1,18,7,1,-,-,688',3.441'
60,112990,2013,40,39,1.59,4,4,-,5,4,4,-,-,1,779',3.114'
61,213606,2013,47,46,0.91,1,-,-,2,7,11,-,-,-,3.884',3.884'
62,36478,2013,16,9,2.22,-,-,-,7,2,1,-,-,-,-,251'
63,30946,2013,22,21,1.71,4,1,-,5,11,2,-,-,1,327',1.308'
64,135617,2013,40,40,1.18,3,4,-,1,3,9,1,-,-,1.185',3.556'
65,149946,2013,34,22,1.18,2,3,-,13,6,-,-,-,-,477',953'
66,85753,2013,39,33,1.00,2,-,-,7,5,10,-,-,1,1.249',2.497'
67,100091,2013,22,19,1.89,2,-,-,9,8,1,-,-,-,496',991'
68,68275,2013,40,40,1.60,2,3,-,3,19,6,-,-,-,1.507',3.014'
69,54872,2013,42,41,1.85,3,2,-,2,11,5,-,-,-,1.089',3.267'
70,242808,2013,37,37,1.46,11,6,-,5,18,5,-,-,-,243',2.673'
71,52999,2013,39,20,1.75,3,-,-,13,3,1,-,-,-,276',827'
72,53079,2013,33,26,1.50,2,-,-,4,6,2,-,-,-,966',1.932'
